controller,scenario,seed,RMSE,MAE,IAE,ISE,max_abs_error,overshoot_percent,settling_time_s,recovery_time_s,fault_interval_RMSE,fault_interval_IAE,fault_interval_ISE,fault_interval_peak_error,control_effort_sum_u2,control_variation_sum_du2,constraint_violations,voltage_violations,rate_violations,nonfinite_events,optimizer_failures,average_solve_ms,p95_solve_ms,max_solve_ms,mean_iterations,mean_objective_evaluations,tail_oscillation,sensor_substitution_rate,medium_mode_fraction,high_mode_fraction,safety_events
A_PI,nominal_tracking,12026,11.13012324236567,5.742513275409002,34.33679898788695,738.3915571454218,35.062866971588775,19.020375345602037,2.34,2.34,11.13012324236567,34.33679898788695,738.3915571454218,35.062866971588775,5982.80187606866,25.67893211171475,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6066688650131269,0.0,0.0,0.0,0
B_plain_MPC,nominal_tracking,12026,10.811093855392956,4.489026602514179,26.803972077433716,696.3222983935109,35.06286697159508,8.88975489361627,1.57,1.57,10.811093855392956,26.803972077433716,696.3222983935109,35.06286697159508,6214.635808236023,149.728149043336,0,0,0,0,0,72.22138512420203,122.56950000301003,157.40569999616127,2.3636363636363638,2.9173553719008263,0.22901812914745534,0.0,0.0,0.0,0
C_sensor_MPC,nominal_tracking,12026,10.811093855392956,4.489026602514179,26.803972077433716,696.3222983935109,35.06286697159508,8.88975489361627,1.57,1.57,10.811093855392956,26.803972077433716,696.3222983935109,35.06286697159508,6214.635808236023,149.728149043336,0,0,0,0,0,72.15078099169442,127.1171000043978,159.66450000269106,2.3636363636363638,2.9173553719008263,0.22901812914745534,0.0,0.0,0.0,0
D_adaptive,nominal_tracking,12026,10.837582114747349,4.606112313504279,27.507673571341527,699.7686476694903,35.06286697159508,12.667609709276917,1.69,1.69,10.837582114747349,27.507673571341527,699.7686476694903,35.06286697159508,6296.7678945152875,145.39565368106062,0,0,0,0,0,64.52905041318866,113.89069999859203,171.37639999418752,2.2148760330578514,2.8016528925619837,0.22044578079486143,0.0,0.02329450915141431,0.011647254575707155,0
A_PI,step_reference,12026,7.217498561536876,4.656712768944546,27.884018108568828,311.0730389294488,20.062866971588775,9.849978223369575,0.8700000000000001,0.8700000000000001,7.217498561536876,27.884018108568828,311.0730389294488,20.062866971588775,6160.296808276831,27.574665316241585,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.8482898036958701,0.0,0.0,0.0,0
B_plain_MPC,step_reference,12026,7.055396496426994,3.776334069188695,22.595580493241464,297.16949751452887,20.062866971589518,3.7917498191496257,0.71,0.71,7.055396496426994,22.595580493241464,297.16949751452887,20.062866971589518,7247.859875542334,195.0903476740425,0,0,0,0,0,61.10931818194549,105.0863999989815,127.5958999976865,2.1818181818181817,2.677685950413223,0.5450712786338414,0.0,0.0,0.0,0
C_sensor_MPC,step_reference,12026,7.0553647365265055,3.776263357390738,22.594995621642745,297.16678700468873,20.062866971589518,3.7917498191496257,0.71,0.71,7.0553647365265055,22.594995621642745,297.16678700468873,20.062866971589518,7248.628116960107,193.0581847904446,0,0,0,0,0,63.74457933908003,111.20810000284109,126.26499999896623,2.206611570247934,2.669421487603306,0.5205169601381314,0.0016638935108153079,0.0,0.0,0
D_adaptive,step_reference,12026,7.055432001460132,3.779065933833741,22.61201561680049,297.17250974665865,20.062866971589518,3.7917498191496257,0.71,0.71,7.055432001460132,22.61201561680049,297.17250974665865,20.062866971589518,7249.836773539265,191.07356488458552,0,0,0,0,0,67.9999082642083,125.05790000432171,144.37639999960084,2.1983471074380163,2.6859504132231407,0.5783030233477859,0.0016638935108153079,0.12479201331114809,0.0,0
A_PI,changing_reference,12026,9.716801858997401,7.764688404992098,46.5638287348912,565.4408331936517,20.062866971588775,52.68212729184029,,,9.716801858997401,46.5638287348912,565.4408331936517,20.062866971588775,5729.40885807987,43.963957796571194,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.6531491386293276,0.0,0.0,0.0,0
B_plain_MPC,changing_reference,12026,7.238981211246953,4.285016449792374,25.652171127948712,312.94100137604585,20.062866971588775,37.52154355745132,0.7599999999999998,0.7599999999999998,7.238981211246953,25.652171127948712,312.94100137604585,20.062866971588775,6664.196336742717,223.32509449270367,0,0,0,0,0,53.606583471053995,108.2892000049469,153.66979999816976,1.9504132231404958,2.28099173553719,1.9156323564967863,0.0,0.0,0.0,0
C_sensor_MPC,changing_reference,12026,7.238981211246953,4.285016449792374,25.652171127948712,312.94100137604585,20.062866971588775,37.52154355745132,0.7599999999999998,0.7599999999999998,7.238981211246953,25.652171127948712,312.94100137604585,20.062866971588775,6664.196336742717,223.32509449270367,0,0,0,0,0,54.176865289219144,108.78750000119908,143.15950000309385,1.9504132231404958,2.28099173553719,1.9156323564967863,0.0,0.0,0.0,0
D_adaptive,changing_reference,12026,7.238981211246953,4.285016449792374,25.652171127948712,312.94100137604585,20.062866971588775,37.52154355745132,0.7599999999999998,0.7599999999999998,7.238981211246953,25.652171127948712,312.94100137604585,20.062866971588775,6664.196336742717,223.32509449270367,0,0,0,0,0,57.08430991746189,125.10499999916647,151.42529999866383,1.9504132231404958,2.28099173553719,1.9156323564967863,0.0,0.026622296173044926,0.009983361064891847,0
A_PI,load_disturbance,12026,11.29236204750278,6.455847646176882,38.621167035421976,760.2523997291709,35.062866971588775,19.160112405005258,2.34,1.0700000000000003,2.87227586039679,6.718768094342955,24.79112594002351,5.65017050298114,8176.706871022283,27.341718566174084,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.5391842816943466,0.0,0.0,0.0,0
B_plain_MPC,load_disturbance,12026,10.826864480506744,4.859301123137946,29.025916167879778,698.3707497513842,35.062866971588775,8.427916416947333,1.56,0.0,0.8456872819566517,2.401425475333428,2.1502624710082143,1.656623122307174,8475.051072655375,163.19412438019114,0,0,0,0,0,70.16190826395682,127.08030000067083,173.3144000027096,2.2975206611570247,2.8181818181818183,0.2852659883906554,0.0,0.0,0.0,0
C_sensor_MPC,load_disturbance,12026,10.826864480506744,4.859301123137946,29.025916167879778,698.3707497513842,35.062866971588775,8.427916416947333,1.56,0.0,0.8456872819566517,2.401425475333428,2.1502624710082143,1.656623122307174,8475.051072655375,163.19412438019114,0,0,0,0,0,67.52277685954449,116.40369999804534,127.14879999839468,2.2975206611570247,2.8181818181818183,0.2852659883906554,0.0,0.0,0.0,0
D_adaptive,load_disturbance,12026,10.870523738548219,5.0167738944807585,29.972230364377197,704.0638366236758,35.062866971588775,14.355993708151868,1.74,0.0,0.8577539949027848,2.4135935810369595,2.2118481560817562,1.7125274532008703,8547.059386773653,145.51470363638086,0,0,0,0,0,65.04057768565383,114.80880000453908,159.76579999551177,2.239669421487603,2.743801652892562,0.2521251093668937,0.0,0.10316139767054909,0.018302828618968387,0
A_PI,sensor_noise,12026,11.109569459987501,5.533007810298519,33.0769185608674,735.6440014797074,35.062866971588775,19.217218857736274,2.35,0.0,1.802240328995267,2.6643697921552345,6.3520221218184885,5.3530362126953435,6001.429977188789,57.86133909800113,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4782560597969976,0.0,0.0,0.0,0
