controller,scenario,seed,RMSE,MAE,IAE,ISE,max_abs_error,overshoot_percent,settling_time_s,recovery_time_s,fault_interval_RMSE,fault_interval_IAE,fault_interval_ISE,fault_interval_peak_error,control_effort_sum_u2,control_variation_sum_du2,constraint_violations,voltage_violations,rate_violations,nonfinite_events,optimizer_failures,average_solve_ms,p95_solve_ms,max_solve_ms,mean_iterations,mean_objective_evaluations,tail_oscillation,sensor_substitution_rate,substitution_fraction,recovery_events,false_recovery_events,sensor_recovery_latency_s,medium_mode_fraction,high_mode_fraction,safety_events
A_PI,nominal_tracking,12026,11.13012324236567,5.742513275409002,34.33679898788695,738.3915571454218,35.062866971588775,19.020375345602037,2.34,2.34,11.13012324236567,34.33679898788695,738.3915571454218,35.062866971588775,5982.80187606866,25.67893211171475,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6066688650131269,0.0,0.0,0,0,,0.0,0.0,0
B_plain_MPC,nominal_tracking,12026,10.811093855587577,4.489026602592475,26.803972077904714,696.3222984188017,35.0628669715951,8.889754885851481,1.57,1.57,10.811093855587577,26.803972077904714,696.3222984188017,35.0628669715951,6214.635807884521,149.72814903819935,0,0,0,0,0,82.77726280988841,144.02759999939008,188.30270000034943,2.3636363636363638,2.9173553719008263,0.22901812917067588,0.0,0.0,0,0,,0.0,0.0,0
C_sensor_MPC,nominal_tracking,12026,10.811093855587577,4.489026602592475,26.803972077904714,696.3222984188017,35.0628669715951,8.889754885851481,1.57,1.57,10.811093855587577,26.803972077904714,696.3222984188017,35.0628669715951,6214.635807884521,149.72814903819935,0,0,0,0,0,80.56924297539989,145.58840000245254,155.90620000148192,2.3636363636363638,2.9173553719008263,0.22901812917067588,0.0,0.0,0,0,,0.0,0.0,0
D_adaptive,nominal_tracking,12026,10.837582114914374,4.606112313547761,27.507673571603316,699.7686476912485,35.0628669715951,12.667609701280043,1.69,1.69,10.837582114914374,27.507673571603316,699.7686476912485,35.0628669715951,6296.767894148452,145.39565367570637,0,0,0,0,0,85.33468429743137,152.9623999958858,182.17860000004293,2.2148760330578514,2.8016528925619837,0.2204457808195528,0.0,0.0,0,0,,0.02329450915141431,0.011647254575707155,0
A_PI,step_reference,12026,7.217498561536876,4.656712768944546,27.884018108568828,311.0730389294488,20.062866971588775,9.849978223369575,0.8700000000000001,0.8700000000000001,7.217498561536876,27.884018108568828,311.0730389294488,20.062866971588775,6160.296808276831,27.574665316241585,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.8482898036958701,0.0,0.0,0,0,,0.0,0.0,0
B_plain_MPC,step_reference,12026,7.055396496426161,3.7763340691885294,22.59558049324045,297.16949751445816,20.062866971588775,3.7917498190173937,0.71,0.71,7.055396496426161,22.59558049324045,297.16949751445816,20.062866971588775,7247.8598755345265,195.0903476740816,0,0,0,0,0,82.87987272703225,149.38850000180537,223.01359999983106,2.1818181818181817,2.677685950413223,0.5450712786362715,0.0,0.0,0,0,,0.0,0.0,0
C_sensor_MPC,step_reference,12026,7.055364736525674,3.776263357390654,22.59499562164222,297.1667870046181,20.062866971588775,3.7917498190173937,0.71,0.71,7.055364736525674,22.59499562164222,297.1667870046181,20.062866971588775,7248.628116952299,193.05818479048375,0,0,0,0,0,86.2849950410973,184.02139999670908,241.0922999988543,2.206611570247934,2.669421487603306,0.5205169601405331,0.0016638935108153079,0.0016638935108153079,0,0,,0.0,0.0,0
D_adaptive,step_reference,12026,7.055432001459283,3.779065933833606,22.612015616799663,297.17250974658657,20.062866971588775,3.7917498190173937,0.71,0.71,7.055432001459283,22.612015616799663,297.17250974658657,20.062866971588775,7249.836773531455,191.07356488462463,0,0,0,0,0,107.08546280980684,174.40239999996265,225.9249999988242,2.1983471074380163,2.6859504132231407,0.5783030233503297,0.0016638935108153079,0.0016638935108153079,0,0,,0.12479201331114809,0.0,0
A_PI,changing_reference,12026,9.716801858997401,7.764688404992098,46.5638287348912,565.4408331936517,20.062866971588775,52.68212729184029,,,9.716801858997401,46.5638287348912,565.4408331936517,20.062866971588775,5729.40885807987,43.963957796571194,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.6531491386293276,0.0,0.0,0,0,,0.0,0.0,0
B_plain_MPC,changing_reference,12026,7.2389812112387135,4.285016449797138,25.652171127977365,312.94100137532894,20.06286697158965,37.521543557519074,0.7599999999999998,0.7599999999999998,7.2389812112387135,25.652171127977365,312.94100137532894,20.06286697158965,6664.196336765178,223.32509449287772,0,0,0,0,0,93.96898429745795,191.55710000632098,222.32939999958035,1.9504132231404958,2.28099173553719,1.9156323564989037,0.0,0.0,0,0,,0.0,0.0,0
C_sensor_MPC,changing_reference,12026,7.2389812112387135,4.285016449797138,25.652171127977365,312.94100137532894,20.06286697158965,37.521543557519074,0.7599999999999998,0.7599999999999998,7.2389812112387135,25.652171127977365,312.94100137532894,20.06286697158965,6664.196336765178,223.32509449287772,0,0,0,0,0,78.18536859494922,148.67560000129743,249.04919999971753,1.9504132231404958,2.28099173553719,1.9156323564989037,0.0,0.0,0,0,,0.0,0.0,0
D_adaptive,changing_reference,12026,7.2389812112387135,4.285016449797138,25.652171127977365,312.94100137532894,20.06286697158965,37.521543557519074,0.7599999999999998,0.7599999999999998,7.2389812112387135,25.652171127977365,312.94100137532894,20.06286697158965,6664.196336765178,223.32509449287772,0,0,0,0,0,75.82705041345773,147.6433999996516,209.52150000084657,1.9504132231404958,2.28099173553719,1.9156323564989037,0.0,0.0,0,0,,0.026622296173044926,0.009983361064891847,0
