scenario,detector,alarm_rate
clean,instantaneous,0.0014112334180073384
clean,signed_EWMA,0.030200395145357044
clean,absolute_EWMA,0.022156364662715214
clean,two_sided_CUSUM,0.025261078182331358
clean,final_guarded_persistent,0.022579734688117414
gaussian_noise,instantaneous,0.6812317935913441
gaussian_noise,signed_EWMA,0.9700374531835206
gaussian_noise,absolute_EWMA,0.9977111943404078
gaussian_noise,two_sided_CUSUM,0.996046608406159
gaussian_noise,final_guarded_persistent,0.9929255097794424
bias_pos_5,instantaneous,0.005826050769870994
bias_pos_5,signed_EWMA,0.44111527257594674
bias_pos_5,absolute_EWMA,0.44818976279650435
bias_pos_5,two_sided_CUSUM,0.4317519766957969
bias_pos_5,final_guarded_persistent,0.42592592592592593
bias_pos_10,instantaneous,0.011860174781523096
bias_pos_10,signed_EWMA,0.6219309196837287
bias_pos_10,absolute_EWMA,0.6319184352892218
bias_pos_10,two_sided_CUSUM,0.6117353308364545
bias_pos_10,final_guarded_persistent,0.606949646275489
bias_pos_15,instantaneous,0.015605493133583021
bias_pos_15,signed_EWMA,0.8990844777361632
bias_pos_15,absolute_EWMA,0.9022055763628797
bias_pos_15,two_sided_CUSUM,0.8934665002080733
bias_pos_15,final_guarded_persistent,0.8905534748231377
bias_neg_5,instantaneous,0.006450270495214316
bias_neg_5,signed_EWMA,0.8012900540990429
bias_neg_5,absolute_EWMA,0.8017062005826051
bias_neg_5,two_sided_CUSUM,0.793799417394923
bias_neg_5,final_guarded_persistent,0.7883895131086143
drift_positive,instantaneous,0.0020807324178110697
drift_positive,signed_EWMA,0.03412401165210154
drift_positive,absolute_EWMA,0.03162713275072826
drift_positive,two_sided_CUSUM,0.03641281731169372
drift_positive,final_guarded_persistent,0.03433208489388265
drift_negative,instantaneous,0.0016645859342488557
drift_negative,signed_EWMA,0.010403662089055347
drift_negative,absolute_EWMA,0.005409904286308781
drift_negative,two_sided_CUSUM,0.008739076154806492
drift_negative,final_guarded_persistent,0.004161464835622139
sensor_dropout,instantaneous,0.09777777777777778
sensor_dropout,signed_EWMA,1.0
sensor_dropout,absolute_EWMA,1.0
sensor_dropout,two_sided_CUSUM,1.0
sensor_dropout,final_guarded_persistent,0.9866666666666667
