controller,scenario,seed,overall_rmse,overall_mae,fault_window_rmse,recovery_latency_s,recovery_events,false_recovery_events,sub_duration_s,sub_fraction,switches,avg_episode_duration_s,frac_phys,frac_main,frac_aux,frac_fb,control_effort_u2,control_variation_du2,voltage_violations,rate_violations,optimizer_failures,mean_solve_ms,mean_arb_ms,sim_time_s,main_virtual_rmse,main_virtual_mae,aux_virtual_rmse,aux_virtual_mae,selected_virtual_rmse,selected_virtual_mae,corrupted_rmse,corrupted_mae,sub_samples
C1_sensor_MPC,sensor_noise,12026,10.812634269210388,4.566067608855427,0.25198240846311604,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6108.609983006075,81.14199647831964,0,0,0,214.31669834711545,0.0,27.78514789999963,0.246186590237674,0.22435983557546554,,,0.246186590237674,0.22435983557546554,1.371062373471538,0.8701188267658102,401
C2_aux_recovery_MPC,sensor_noise,12026,10.812634269210388,4.566067608855427,0.25198240846311604,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6108.609983006075,81.14199647831964,0,0,0,209.77080247936732,0.0,28.10530659999995,0.246186590237674,0.22435983557546554,0.3135470731304607,0.22167726439801927,0.246186590237674,0.22435983557546554,1.371062373471538,0.8701188267658102,401
C3_arbitration_MPC,sensor_noise,12026,10.812634269210388,4.566067608855427,0.25198240846311604,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6108.609983006075,81.14199647831964,0,0,0,210.03636363638714,0.025022547341155187,28.203380299999935,0.246186590237674,0.22435983557546554,0.3135470731304607,0.22167726439801927,0.246186590237674,0.22435983557546554,1.371062373471538,0.8701188267658102,401
C1_sensor_MPC,sensor_noise,12027,10.81087627336859,4.578342977387379,0.3520084503465756,,0,0,4.0,0.6655574043261231,1,3.0,0.33444259567387685,0.6655574043261231,0.0,0.0,6127.676857907574,81.26929661000912,0,0,0,204.7500595040971,0.0,26.633194199999707,0.2921255507338939,0.25922942977088487,,,0.2921255507338939,0.25922942977088487,1.4295341838662712,0.8972425255056067,400
C2_aux_recovery_MPC,sensor_noise,12027,10.81087627336859,4.578342977387379,0.3520084503465756,,0,0,4.0,0.6655574043261231,1,3.0,0.33444259567387685,0.6655574043261231,0.0,0.0,6127.676857907574,81.26929661000912,0,0,0,202.60602396694202,0.0,27.3373603,0.2921255507338939,0.25922942977088487,0.3222613137226964,0.2293418568077145,0.2921255507338939,0.25922942977088487,1.4295341838662712,0.8972425255056067,400
C3_arbitration_MPC,sensor_noise,12027,10.81087627336859,4.578342977387379,0.3520084503465756,,0,0,4.0,0.6655574043261231,1,3.0,0.33444259567387685,0.6655574043261231,0.0,0.0,6127.676857907574,81.26929661000912,0,0,0,205.28848677686855,0.02498898451098701,27.62565289999975,0.2921255507338939,0.25922942977088487,0.3222613137226964,0.2293418568077145,0.2921255507338939,0.25922942977088487,1.4295341838662712,0.8972425255056067,400
C1_sensor_MPC,sensor_noise,12028,10.814657110520493,4.654130602829615,0.6421975717908777,,0,0,4.0,0.6655574043261231,3,1.5,0.33444259567387685,0.6655574043261231,0.0,0.0,6122.217106943952,75.01202617260631,0,0,0,188.19475454544343,0.0,24.746085700000094,0.48065020004211717,0.38052264375521694,,,0.48065020004211717,0.38052264375521694,1.4022250405094419,0.8975448181972943,400
C2_aux_recovery_MPC,sensor_noise,12028,10.814657110520493,4.654130602829615,0.6421975717908777,,0,0,4.0,0.6655574043261231,3,1.5,0.33444259567387685,0.6655574043261231,0.0,0.0,6122.217106943952,75.01202617260631,0,0,0,192.0156388429957,0.0,26.1242000000002,0.48065020004211717,0.38052264375521694,0.31819300679647466,0.2505941687619062,0.48065020004211717,0.38052264375521694,1.4022250405094419,0.8975448181972943,400
C3_arbitration_MPC,sensor_noise,12028,10.814657110520493,4.654130602829615,0.6421975717908777,,0,0,4.0,0.6655574043261231,3,1.5,0.33444259567387685,0.6655574043261231,0.0,0.0,6122.217106943952,75.01202617260631,0,0,0,184.34008264462926,0.026289500847316623,25.198663900000156,0.48065020004211717,0.38052264375521694,0.31819300679647466,0.2505941687619062,0.48065020004211717,0.38052264375521694,1.4022250405094419,0.8975448181972943,400
C1_sensor_MPC,sensor_noise,12029,10.811355316529779,4.610133885800168,0.48674091496299665,,0,0,4.0,0.6655574043261231,3,1.5,0.33444259567387685,0.6655574043261231,0.0,0.0,6100.947643003258,78.28893198989408,0,0,0,187.3199917355341,0.0,24.561677000000145,0.38800714147903037,0.3210129356329893,,,0.38800714147903037,0.3210129356329893,1.3160429301382983,0.8447900575307921,400
C2_aux_recovery_MPC,sensor_noise,12029,10.811355316529779,4.610133885800168,0.48674091496299665,,0,0,4.0,0.6655574043261231,3,1.5,0.33444259567387685,0.6655574043261231,0.0,0.0,6100.947643003258,78.28893198989408,0,0,0,172.66759586777317,0.0,23.480107599999883,0.38800714147903037,0.3210129356329893,0.2772381054163039,0.229140467673959,0.38800714147903037,0.3210129356329893,1.3160429301382983,0.8447900575307921,400
C3_arbitration_MPC,sensor_noise,12029,10.811355316529779,4.610133885800168,0.48674091496299665,,0,0,4.0,0.6655574043261231,3,1.5,0.33444259567387685,0.6655574043261231,0.0,0.0,6100.947643003258,78.28893198989408,0,0,0,169.57562479342226,0.023924612740712243,23.152586599999722,0.38800714147903037,0.3210129356329893,0.2772381054163039,0.229140467673959,0.38800714147903037,0.3210129356329893,1.3160429301382983,0.8447900575307921,400
C1_sensor_MPC,sensor_noise,12030,10.805592679047713,4.57246778397815,0.4834351498670348,,0,0,4.0,0.6655574043261231,1,3.0,0.33444259567387685,0.6655574043261231,0.0,0.0,6031.595144276149,71.51388754356023,0,0,0,166.8645066115422,0.0,21.931902700000137,0.375040681098036,0.31391175128378934,,,0.375040681098036,0.31391175128378934,1.5727813594912607,0.9831702124798158,400
C2_aux_recovery_MPC,sensor_noise,12030,10.805592679047713,4.57246778397815,0.4834351498670348,,0,0,4.0,0.6655574043261231,1,3.0,0.33444259567387685,0.6655574043261231,0.0,0.0,6031.595144276149,71.51388754356023,0,0,0,168.14366776858782,0.0,22.909540300000117,0.375040681098036,0.31391175128378934,0.22221289984866052,0.2078920956740771,0.375040681098036,0.31391175128378934,1.5727813594912607,0.9831702124798158,400
C3_arbitration_MPC,sensor_noise,12030,10.805592679047713,4.57246778397815,0.4834351498670348,,0,0,4.0,0.6655574043261231,1,3.0,0.33444259567387685,0.6655574043261231,0.0,0.0,6031.595144276149,71.51388754356023,0,0,0,170.82582231403438,0.022216867462314577,23.20477660000006,0.375040681098036,0.31391175128378934,0.22221289984866052,0.2078920956740771,0.375040681098036,0.31391175128378934,1.5727813594912607,0.9831702124798158,400
C1_sensor_MPC,sensor_bias_5,12026,10.812634269210388,4.566067608855427,0.25198240846311604,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6108.609983006075,81.14199647831964,0,0,0,191.91459504132536,0.0,24.923914200000127,0.246186590237674,0.22435983557546554,,,0.246186590237674,0.22435983557546554,2.326513283942887,1.7325611969986976,401
C2_aux_recovery_MPC,sensor_bias_5,12026,10.812634269210388,4.566067608855427,0.25198240846311604,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6108.609983006075,81.14199647831964,0,0,0,190.91513966942924,0.0,25.592294500000207,0.246186590237674,0.22435983557546554,0.3135470731304607,0.22167726439801927,0.246186590237674,0.22435983557546554,2.326513283942887,1.7325611969986976,401
C3_arbitration_MPC,sensor_bias_5,12026,10.812634269210388,4.566067608855427,0.25198240846311604,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6108.609983006075,81.14199647831964,0,0,0,190.87629338841643,0.023084681591214094,25.65099220000002,0.246186590237674,0.22435983557546554,0.3135470731304607,0.22167726439801927,0.246186590237674,0.22435983557546554,2.326513283942887,1.7325611969986976,401
C1_sensor_MPC,sensor_bias_5,12027,10.810656565158586,4.575598479162928,0.21720760689484087,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6118.18282154939,86.33934113907841,0,0,0,185.2862289256637,0.0,24.124518699999953,0.24266157344879957,0.21038944510755012,,,0.24266157344879957,0.21038944510755012,2.33171273126435,1.7305856346920954,401
C2_aux_recovery_MPC,sensor_bias_5,12027,10.810656565158586,4.575598479162928,0.21720760689484087,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6118.18282154939,86.33934113907841,0,0,0,186.7156983471244,0.0,25.12706930000013,0.24266157344879957,0.21038944510755012,0.3327175780736638,0.22748590990725445,0.24266157344879957,0.21038944510755012,2.33171273126435,1.7305856346920954,401
C3_arbitration_MPC,sensor_bias_5,12027,10.810656565158586,4.575598479162928,0.21720760689484087,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6118.18282154939,86.33934113907841,0,0,0,177.431746280975,0.021541308077869147,23.823426500000096,0.24266157344879957,0.21038944510755012,0.3327175780736638,0.22748590990725445,0.24266157344879957,0.21038944510755012,2.33171273126435,1.7305856346920954,401
C1_sensor_MPC,sensor_bias_5,12028,10.810148332762171,4.5704314445267045,0.2822067860580168,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6109.220106031935,78.81318324455921,0,0,0,176.83789256198148,0.0,23.128276399999777,0.26646262367276136,0.24164209401913903,,,0.26646262367276136,0.24164209401913903,2.304966255271526,1.7189132097883542,401
C2_aux_recovery_MPC,sensor_bias_5,12028,10.810148332762171,4.5704314445267045,0.2822067860580168,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6109.220106031935,78.81318324455921,0,0,0,182.36794297521075,0.0,24.616305699999884,0.26646262367276136,0.24164209401913903,0.31912884111795337,0.23075584745038227,0.26646262367276136,0.24164209401913903,2.304966255271526,1.7189132097883542,401
C3_arbitration_MPC,sensor_bias_5,12028,10.810148332762171,4.5704314445267045,0.2822067860580168,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6109.220106031935,78.81318324455921,0,0,0,180.211397520685,0.02131755593127591,24.21966119999979,0.26646262367276136,0.24164209401913903,0.31912884111795337,0.23075584745038227,0.26646262367276136,0.24164209401913903,2.304966255271526,1.7189132097883542,401
C1_sensor_MPC,sensor_bias_5,12029,10.80908178246011,4.562269804608031,0.1766789847895723,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6074.508004056716,81.22692372213766,0,0,0,184.73932231403117,0.0,23.973692000000028,0.2566560131127232,0.22183117667674002,,,0.2566560131127232,0.22183117667674002,2.30611722827304,1.713962125572309,401
C2_aux_recovery_MPC,sensor_bias_5,12029,10.80908178246011,4.562269804608031,0.1766789847895723,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6074.508004056716,81.22692372213766,0,0,0,185.44822809918358,0.0,24.984611400000176,0.2566560131127232,0.22183117667674002,0.272683485367435,0.19847330060375012,0.2566560131127232,0.22183117667674002,2.30611722827304,1.713962125572309,401
C3_arbitration_MPC,sensor_bias_5,12029,10.80908178246011,4.562269804608031,0.1766789847895723,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6074.508004056716,81.22692372213766,0,0,0,187.54131818178763,0.02169191050170521,25.235705300000063,0.2566560131127232,0.22183117667674002,0.272683485367435,0.19847330060375012,0.2566560131127232,0.22183117667674002,2.30611722827304,1.713962125572309,401
C1_sensor_MPC,sensor_bias_5,12030,10.803332013352339,4.51967927258613,0.18494706964949276,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,5985.76862031602,72.41299746486735,0,0,0,171.4389066115315,0.0,22.388295499999913,0.2686730170014824,0.2382698262588038,,,0.2686730170014824,0.2382698262588038,2.3257884508151143,1.7246921039498542,401
C2_aux_recovery_MPC,sensor_bias_5,12030,10.803332013352339,4.51967927258613,0.18494706964949276,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,5985.76862031602,72.41299746486735,0,0,0,171.8244140495902,0.0,23.286192100000335,0.2686730170014824,0.2382698262588038,0.19835588169371327,0.17850121276297237,0.2686730170014824,0.2382698262588038,2.3257884508151143,1.7246921039498542,401
C3_arbitration_MPC,sensor_bias_5,12030,10.803332013352339,4.51967927258613,0.18494706964949276,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,5985.76862031602,72.41299746486735,0,0,0,171.1487834710801,0.023095697074832108,23.285700800000086,0.2686730170014824,0.2382698262588038,0.19835588169371327,0.17850121276297237,0.2686730170014824,0.2382698262588038,2.3257884508151143,1.7246921039498542,401
C1_sensor_MPC,sensor_bias_15,12026,10.812634269210388,4.566067608855427,0.25198240846311604,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6108.609983006075,81.14199647831964,0,0,0,189.91370743799413,0.0,24.616493699999864,0.246186590237674,0.22435983557546554,,,0.246186590237674,0.22435983557546554,6.924265195149183,4.986145985028623,401
C2_aux_recovery_MPC,sensor_bias_15,12026,10.812634269210388,4.566067608855427,0.25198240846311604,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6108.609983006075,81.14199647831964,0,0,0,191.34799752067966,0.0,25.568928400000004,0.246186590237674,0.22435983557546554,0.3135470731304607,0.22167726439801927,0.246186590237674,0.22435983557546554,6.924265195149183,4.986145985028623,401
C3_arbitration_MPC,sensor_bias_15,12026,10.812634269210388,4.566067608855427,0.25198240846311604,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6108.609983006075,81.14199647831964,0,0,0,191.3721950413486,0.023660585185080952,25.69462999999996,0.246186590237674,0.22435983557546554,0.3135470731304607,0.22167726439801927,0.246186590237674,0.22435983557546554,6.924265195149183,4.986145985028623,401
C1_sensor_MPC,sensor_bias_15,12027,10.810656565158586,4.575598479162928,0.21720760689484087,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6118.18282154939,86.33934113907841,0,0,0,183.15589669423727,0.0,23.832148499999676,0.24266157344879957,0.21038944510755012,,,0.24266157344879957,0.21038944510755012,6.930157386590114,4.984170422722021,401
C2_aux_recovery_MPC,sensor_bias_15,12027,10.810656565158586,4.575598479162928,0.21720760689484087,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6118.18282154939,86.33934113907841,0,0,0,181.87467851241442,0.0,24.42501429999993,0.24266157344879957,0.21038944510755012,0.3327175780736638,0.22748590990725445,0.24266157344879957,0.21038944510755012,6.930157386590114,4.984170422722021,401
C3_arbitration_MPC,sensor_bias_15,12027,10.810656565158586,4.575598479162928,0.21720760689484087,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6118.18282154939,86.33934113907841,0,0,0,184.1235330578434,0.021464199658887063,24.703329399999802,0.24266157344879957,0.21038944510755012,0.3327175780736638,0.22748590990725445,0.24266157344879957,0.21038944510755012,6.930157386590114,4.984170422722021,401
C1_sensor_MPC,sensor_bias_15,12028,10.810148332762171,4.5704314445267045,0.2822067860580168,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6109.220106031935,78.81318324455921,0,0,0,173.23574628098942,0.0,22.606257899999946,0.26646262367276136,0.24164209401913903,,,0.26646262367276136,0.24164209401913903,6.902757258349005,4.972497997818279,401
C2_aux_recovery_MPC,sensor_bias_15,12028,10.810148332762171,4.5704314445267045,0.2822067860580168,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6109.220106031935,78.81318324455921,0,0,0,173.03296776859978,0.0,23.36491049999995,0.26646262367276136,0.24164209401913903,0.31912884111795337,0.23075584745038227,0.26646262367276136,0.24164209401913903,6.902757258349005,4.972497997818279,401
C3_arbitration_MPC,sensor_bias_15,12028,10.810148332762171,4.5704314445267045,0.2822067860580168,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6109.220106031935,78.81318324455921,0,0,0,173.8981760330724,0.02114234078138791,23.47999119999986,0.26646262367276136,0.24164209401913903,0.31912884111795337,0.23075584745038227,0.26646262367276136,0.24164209401913903,6.902757258349005,4.972497997818279,401
