condition_label,aggregation_axis,aggregation_value,mean_c3_minus_b_fault_window_rmse,favorable_count,total_count
combined_bias_15pct_load_0.15Nm,pooled,all,-6.300033287644421,15,15
combined_bias_15pct_load_0.15Nm,training_seed,2026,-5.60925615329735,5,5
combined_bias_15pct_load_0.15Nm,training_seed,2027,-7.2818794618136184,5,5
combined_bias_15pct_load_0.15Nm,training_seed,2028,-6.008964247822294,5,5
combined_bias_15pct_load_0.15Nm,simulation_seed,59026,-6.4828020317595545,3,3
combined_bias_15pct_load_0.15Nm,simulation_seed,59027,-6.408277122128481,3,3
combined_bias_15pct_load_0.15Nm,simulation_seed,59028,-6.318463714964108,3,3
combined_bias_15pct_load_0.15Nm,simulation_seed,59029,-6.323246875749973,3,3
combined_bias_15pct_load_0.15Nm,simulation_seed,59030,-5.96737669361999,3,3
combined_bias_15pct_load_0.1Nm,pooled,all,-6.5682284698753275,15,15
combined_bias_15pct_load_0.1Nm,training_seed,2026,-5.993272521834379,5,5
combined_bias_15pct_load_0.1Nm,training_seed,2027,-7.302995577477714,5,5
combined_bias_15pct_load_0.1Nm,training_seed,2028,-6.408417310313885,5,5
combined_bias_15pct_load_0.1Nm,simulation_seed,59026,-6.750182810807033,3,3
combined_bias_15pct_load_0.1Nm,simulation_seed,59027,-6.705991027060233,3,3
combined_bias_15pct_load_0.1Nm,simulation_seed,59028,-6.524769011041504,3,3
combined_bias_15pct_load_0.1Nm,simulation_seed,59029,-6.504636584183321,3,3
combined_bias_15pct_load_0.1Nm,simulation_seed,59030,-6.355562916284543,3,3
combined_bias_5pct_load_0.15Nm,pooled,all,-0.7211217909731765,13,15
combined_bias_5pct_load_0.15Nm,training_seed,2026,-0.026903944692158798,3,5
combined_bias_5pct_load_0.15Nm,training_seed,2027,-1.6436968338432791,5,5
combined_bias_5pct_load_0.15Nm,training_seed,2028,-0.49276459438409165,5,5
combined_bias_5pct_load_0.15Nm,simulation_seed,59026,-0.8940658524914884,3,3
combined_bias_5pct_load_0.15Nm,simulation_seed,59027,-0.6340411504630676,2,3
combined_bias_5pct_load_0.15Nm,simulation_seed,59028,-0.8782940759950458,3,3
combined_bias_5pct_load_0.15Nm,simulation_seed,59029,-0.8713764341971978,3,3
combined_bias_5pct_load_0.15Nm,simulation_seed,59030,-0.3278314417190827,2,3
combined_bias_5pct_load_0.1Nm,pooled,all,-0.9115940527102588,14,15
combined_bias_5pct_load_0.1Nm,training_seed,2026,-0.28099013787421445,4,5
combined_bias_5pct_load_0.1Nm,training_seed,2027,-1.7433720942619317,5,5
combined_bias_5pct_load_0.1Nm,training_seed,2028,-0.7104199259946301,5,5
combined_bias_5pct_load_0.1Nm,simulation_seed,59026,-1.1271766701701076,3,3
combined_bias_5pct_load_0.1Nm,simulation_seed,59027,-1.0200597925544597,3,3
combined_bias_5pct_load_0.1Nm,simulation_seed,59028,-0.876777699227972,3,3
combined_bias_5pct_load_0.1Nm,simulation_seed,59029,-0.8854718065412629,3,3
combined_bias_5pct_load_0.1Nm,simulation_seed,59030,-0.6484842950574917,2,3
