endpoint,family,condition_label,training_seed,successes,trials,probability,wilson95_low,wilson95_high
sensor_fault_detection_probability,bias,bias_10pct,2026,4,5,0.8,0.37553462976252533,0.9637758913675698
sensor_fault_detection_probability,bias,bias_10pct,2027,2,5,0.4,0.11762077423264783,0.769275718723987
sensor_fault_detection_probability,bias,bias_10pct,2028,5,5,1.0,0.5655175352168251,1.0
sensor_fault_detection_probability,bias,bias_10pct,pooled,11,15,0.7333333333333333,0.4804956594401943,0.8910254667430761
sensor_fault_detection_probability,bias,bias_15pct,2026,4,5,0.8,0.37553462976252533,0.9637758913675698
sensor_fault_detection_probability,bias,bias_15pct,2027,2,5,0.4,0.11762077423264783,0.769275718723987
sensor_fault_detection_probability,bias,bias_15pct,2028,5,5,1.0,0.5655175352168251,1.0
sensor_fault_detection_probability,bias,bias_15pct,pooled,11,15,0.7333333333333333,0.4804956594401943,0.8910254667430761
sensor_fault_detection_probability,bias,bias_2.5pct,2026,4,5,0.8,0.37553462976252533,0.9637758913675698
sensor_fault_detection_probability,bias,bias_2.5pct,2027,2,5,0.4,0.11762077423264783,0.769275718723987
sensor_fault_detection_probability,bias,bias_2.5pct,2028,5,5,1.0,0.5655175352168251,1.0
sensor_fault_detection_probability,bias,bias_2.5pct,pooled,11,15,0.7333333333333333,0.4804956594401943,0.8910254667430761
sensor_fault_detection_probability,bias,bias_5pct,2026,4,5,0.8,0.37553462976252533,0.9637758913675698
sensor_fault_detection_probability,bias,bias_5pct,2027,2,5,0.4,0.11762077423264783,0.769275718723987
sensor_fault_detection_probability,bias,bias_5pct,2028,5,5,1.0,0.5655175352168251,1.0
sensor_fault_detection_probability,bias,bias_5pct,pooled,11,15,0.7333333333333333,0.4804956594401943,0.8910254667430761
sensor_fault_detection_probability,combined_bias_load,combined_bias_15pct_load_0.15Nm,2026,4,5,0.8,0.37553462976252533,0.9637758913675698
sensor_fault_detection_probability,combined_bias_load,combined_bias_15pct_load_0.15Nm,2027,1,5,0.2,0.03622410863243014,0.6244653702374747
sensor_fault_detection_probability,combined_bias_load,combined_bias_15pct_load_0.15Nm,2028,5,5,1.0,0.5655175352168251,1.0
sensor_fault_detection_probability,combined_bias_load,combined_bias_15pct_load_0.15Nm,pooled,10,15,0.6666666666666666,0.41713547738519774,0.8482367556028526
sensor_fault_detection_probability,combined_bias_load,combined_bias_15pct_load_0.1Nm,2026,4,5,0.8,0.37553462976252533,0.9637758913675698
sensor_fault_detection_probability,combined_bias_load,combined_bias_15pct_load_0.1Nm,2027,1,5,0.2,0.03622410863243014,0.6244653702374747
sensor_fault_detection_probability,combined_bias_load,combined_bias_15pct_load_0.1Nm,2028,5,5,1.0,0.5655175352168251,1.0
sensor_fault_detection_probability,combined_bias_load,combined_bias_15pct_load_0.1Nm,pooled,10,15,0.6666666666666666,0.41713547738519774,0.8482367556028526
sensor_fault_detection_probability,combined_bias_load,combined_bias_5pct_load_0.15Nm,2026,4,5,0.8,0.37553462976252533,0.9637758913675698
sensor_fault_detection_probability,combined_bias_load,combined_bias_5pct_load_0.15Nm,2027,1,5,0.2,0.03622410863243014,0.6244653702374747
sensor_fault_detection_probability,combined_bias_load,combined_bias_5pct_load_0.15Nm,2028,5,5,1.0,0.5655175352168251,1.0
sensor_fault_detection_probability,combined_bias_load,combined_bias_5pct_load_0.15Nm,pooled,10,15,0.6666666666666666,0.41713547738519774,0.8482367556028526
sensor_fault_detection_probability,combined_bias_load,combined_bias_5pct_load_0.1Nm,2026,4,5,0.8,0.37553462976252533,0.9637758913675698
sensor_fault_detection_probability,combined_bias_load,combined_bias_5pct_load_0.1Nm,2027,1,5,0.2,0.03622410863243014,0.6244653702374747
sensor_fault_detection_probability,combined_bias_load,combined_bias_5pct_load_0.1Nm,2028,5,5,1.0,0.5655175352168251,1.0
sensor_fault_detection_probability,combined_bias_load,combined_bias_5pct_load_0.1Nm,pooled,10,15,0.6666666666666666,0.41713547738519774,0.8482367556028526
sensor_fault_detection_probability,drift,drift_10pct,2026,0,5,0.0,0.0,0.43448246478317476
sensor_fault_detection_probability,drift,drift_10pct,2027,1,5,0.2,0.03622410863243014,0.6244653702374747
sensor_fault_detection_probability,drift,drift_10pct,2028,0,5,0.0,0.0,0.43448246478317476
sensor_fault_detection_probability,drift,drift_10pct,pooled,1,15,0.06666666666666667,0.011866895493268553,0.2981652987378003
sensor_fault_detection_probability,drift,drift_15pct,2026,1,5,0.2,0.03622410863243014,0.6244653702374747
sensor_fault_detection_probability,drift,drift_15pct,2027,1,5,0.2,0.03622410863243014,0.6244653702374747
sensor_fault_detection_probability,drift,drift_15pct,2028,0,5,0.0,0.0,0.43448246478317476
sensor_fault_detection_probability,drift,drift_15pct,pooled,2,15,0.13333333333333333,0.03736125910306537,0.37881982832322364
sensor_fault_detection_probability,drift,drift_2.5pct,2026,0,5,0.0,0.0,0.43448246478317476
sensor_fault_detection_probability,drift,drift_2.5pct,2027,1,5,0.2,0.03622410863243014,0.6244653702374747
sensor_fault_detection_probability,drift,drift_2.5pct,2028,0,5,0.0,0.0,0.43448246478317476
sensor_fault_detection_probability,drift,drift_2.5pct,pooled,1,15,0.06666666666666667,0.011866895493268553,0.2981652987378003
sensor_fault_detection_probability,drift,drift_5pct,2026,0,5,0.0,0.0,0.43448246478317476
sensor_fault_detection_probability,drift,drift_5pct,2027,1,5,0.2,0.03622410863243014,0.6244653702374747
sensor_fault_detection_probability,drift,drift_5pct,2028,0,5,0.0,0.0,0.43448246478317476
sensor_fault_detection_probability,drift,drift_5pct,pooled,1,15,0.06666666666666667,0.011866895493268553,0.2981652987378003
sensor_fault_detection_probability,dropout,dropout_0.1s,2026,4,5,0.8,0.37553462976252533,0.9637758913675698
sensor_fault_detection_probability,dropout,dropout_0.1s,2027,2,5,0.4,0.11762077423264783,0.769275718723987
sensor_fault_detection_probability,dropout,dropout_0.1s,2028,5,5,1.0,0.5655175352168251,1.0
sensor_fault_detection_probability,dropout,dropout_0.1s,pooled,11,15,0.7333333333333333,0.4804956594401943,0.8910254667430761
sensor_fault_detection_probability,dropout,dropout_0.5s,2026,4,5,0.8,0.37553462976252533,0.9637758913675698
sensor_fault_detection_probability,dropout,dropout_0.5s,2027,2,5,0.4,0.11762077423264783,0.769275718723987
sensor_fault_detection_probability,dropout,dropout_0.5s,2028,5,5,1.0,0.5655175352168251,1.0
sensor_fault_detection_probability,dropout,dropout_0.5s,pooled,11,15,0.7333333333333333,0.4804956594401943,0.8910254667430761
sensor_fault_detection_probability,dropout,dropout_1s,2026,4,5,0.8,0.37553462976252533,0.9637758913675698
sensor_fault_detection_probability,dropout,dropout_1s,2027,2,5,0.4,0.11762077423264783,0.769275718723987
sensor_fault_detection_probability,dropout,dropout_1s,2028,5,5,1.0,0.5655175352168251,1.0
sensor_fault_detection_probability,dropout,dropout_1s,pooled,11,15,0.7333333333333333,0.4804956594401943,0.8910254667430761
sensor_fault_detection_probability,dropout,dropout_2s,2026,4,5,0.8,0.37553462976252533,0.9637758913675698
sensor_fault_detection_probability,dropout,dropout_2s,2027,2,5,0.4,0.11762077423264783,0.769275718723987
sensor_fault_detection_probability,dropout,dropout_2s,2028,5,5,1.0,0.5655175352168251,1.0
sensor_fault_detection_probability,dropout,dropout_2s,pooled,11,15,0.7333333333333333,0.4804956594401943,0.8910254667430761
load_false_reliability_entry_probability,load,load_0.06Nm,2026,0,5,0.0,0.0,0.43448246478317476
load_false_reliability_entry_probability,load,load_0.06Nm,2027,0,5,0.0,0.0,0.43448246478317476
load_false_reliability_entry_probability,load,load_0.06Nm,2028,0,5,0.0,0.0,0.43448246478317476
load_false_reliability_entry_probability,load,load_0.06Nm,pooled,0,15,0.0,0.0,0.20388330103584862
load_false_reliability_entry_probability,load,load_0.15Nm,2026,1,5,0.2,0.03622410863243014,0.6244653702374747
load_false_reliability_entry_probability,load,load_0.15Nm,2027,1,5,0.2,0.03622410863243014,0.6244653702374747
load_false_reliability_entry_probability,load,load_0.15Nm,2028,2,5,0.4,0.11762077423264783,0.769275718723987
load_false_reliability_entry_probability,load,load_0.15Nm,pooled,4,15,0.26666666666666666,0.10897453325692374,0.5195043405598057
load_false_reliability_entry_probability,load,load_0.1Nm,2026,0,5,0.0,0.0,0.43448246478317476
load_false_reliability_entry_probability,load,load_0.1Nm,2027,0,5,0.0,0.0,0.43448246478317476
load_false_reliability_entry_probability,load,load_0.1Nm,2028,0,5,0.0,0.0,0.43448246478317476
load_false_reliability_entry_probability,load,load_0.1Nm,pooled,0,15,0.0,0.0,0.20388330103584862
load_false_reliability_entry_probability,load,load_0.2Nm,2026,4,5,0.8,0.37553462976252533,0.9637758913675698
load_false_reliability_entry_probability,load,load_0.2Nm,2027,1,5,0.2,0.03622410863243014,0.6244653702374747
load_false_reliability_entry_probability,load,load_0.2Nm,2028,5,5,1.0,0.5655175352168251,1.0
load_false_reliability_entry_probability,load,load_0.2Nm,pooled,10,15,0.6666666666666666,0.41713547738519774,0.8482367556028526
