family,condition_label,classification,pooled_detection_probability,training_seed_2026_detection_probability,training_seed_2027_detection_probability,training_seed_2028_detection_probability,pooled_mean_c3_minus_b_fault_window_rmse,training_seed_2026_mean_delta,training_seed_2027_mean_delta,training_seed_2028_mean_delta,favorable_pair_count_of_15,training_seeds_with_favorable_mean_of_3,safety_numerical_incomplete_failure_total,supported_checks_json,limited_checks_json
bias,bias_10pct,LIMITED,0.7333333333333333,0.8,0.4,1.0,-4.547572922475832,-4.473579035606707,-4.557369647230809,-4.611770084589976,15,3,0,"{""all_training_seed_detection_probability_ge_threshold"": false, ""all_training_seed_mean_delta_negative"": true, ""favorable_pair_count_ge_threshold"": true, ""safety_numerical_incomplete_failures_zero"": true}","{""favorable_training_seed_mean_count_ge_threshold"": true, ""pooled_detection_probability_ge_threshold"": true, ""pooled_mean_delta_negative"": true, ""safety_numerical_incomplete_failures_zero"": true}"
bias,bias_15pct,LIMITED,0.7333333333333333,0.8,0.4,1.0,-7.000847936564139,-6.907012915871292,-7.053491038016068,-7.042039855805058,15,3,0,"{""all_training_seed_detection_probability_ge_threshold"": false, ""all_training_seed_mean_delta_negative"": true, ""favorable_pair_count_ge_threshold"": true, ""safety_numerical_incomplete_failures_zero"": true}","{""favorable_training_seed_mean_count_ge_threshold"": true, ""pooled_detection_probability_ge_threshold"": true, ""pooled_mean_delta_negative"": true, ""safety_numerical_incomplete_failures_zero"": true}"
bias,bias_2.5pct,LIMITED,0.7333333333333333,0.8,0.4,1.0,-0.5244279024337035,-0.4637128026950764,-0.38967519794062044,-0.7198957066654138,13,3,0,"{""all_training_seed_detection_probability_ge_threshold"": false, ""all_training_seed_mean_delta_negative"": true, ""favorable_pair_count_ge_threshold"": true, ""safety_numerical_incomplete_failures_zero"": true}","{""favorable_training_seed_mean_count_ge_threshold"": true, ""pooled_detection_probability_ge_threshold"": true, ""pooled_mean_delta_negative"": true, ""safety_numerical_incomplete_failures_zero"": true}"
bias,bias_5pct,LIMITED,0.7333333333333333,0.8,0.4,1.0,-1.9232201253442016,-1.8850611058232736,-1.823928272465875,-2.0606709977434567,14,3,0,"{""all_training_seed_detection_probability_ge_threshold"": false, ""all_training_seed_mean_delta_negative"": true, ""favorable_pair_count_ge_threshold"": true, ""safety_numerical_incomplete_failures_zero"": true}","{""favorable_training_seed_mean_count_ge_threshold"": true, ""pooled_detection_probability_ge_threshold"": true, ""pooled_mean_delta_negative"": true, ""safety_numerical_incomplete_failures_zero"": true}"
combined_bias_load,combined_bias_15pct_load_0.15Nm,LIMITED,0.6666666666666666,0.8,0.2,1.0,-6.300033287644421,-5.60925615329735,-7.2818794618136184,-6.008964247822294,15,3,0,"{""all_training_seed_detection_probability_ge_threshold"": false, ""all_training_seed_mean_delta_negative"": true, ""favorable_pair_count_ge_threshold"": true, ""safety_numerical_incomplete_failures_zero"": true}","{""favorable_training_seed_mean_count_ge_threshold"": true, ""pooled_detection_probability_ge_threshold"": true, ""pooled_mean_delta_negative"": true, ""safety_numerical_incomplete_failures_zero"": true}"
combined_bias_load,combined_bias_15pct_load_0.1Nm,LIMITED,0.6666666666666666,0.8,0.2,1.0,-6.5682284698753275,-5.993272521834379,-7.302995577477714,-6.408417310313885,15,3,0,"{""all_training_seed_detection_probability_ge_threshold"": false, ""all_training_seed_mean_delta_negative"": true, ""favorable_pair_count_ge_threshold"": true, ""safety_numerical_incomplete_failures_zero"": true}","{""favorable_training_seed_mean_count_ge_threshold"": true, ""pooled_detection_probability_ge_threshold"": true, ""pooled_mean_delta_negative"": true, ""safety_numerical_incomplete_failures_zero"": true}"
combined_bias_load,combined_bias_5pct_load_0.15Nm,LIMITED,0.6666666666666666,0.8,0.2,1.0,-0.7211217909731765,-0.026903944692158798,-1.6436968338432791,-0.49276459438409165,13,3,0,"{""all_training_seed_detection_probability_ge_threshold"": false, ""all_training_seed_mean_delta_negative"": true, ""favorable_pair_count_ge_threshold"": true, ""safety_numerical_incomplete_failures_zero"": true}","{""favorable_training_seed_mean_count_ge_threshold"": true, ""pooled_detection_probability_ge_threshold"": true, ""pooled_mean_delta_negative"": true, ""safety_numerical_incomplete_failures_zero"": true}"
combined_bias_load,combined_bias_5pct_load_0.1Nm,LIMITED,0.6666666666666666,0.8,0.2,1.0,-0.9115940527102588,-0.28099013787421445,-1.7433720942619317,-0.7104199259946301,14,3,0,"{""all_training_seed_detection_probability_ge_threshold"": false, ""all_training_seed_mean_delta_negative"": true, ""favorable_pair_count_ge_threshold"": true, ""safety_numerical_incomplete_failures_zero"": true}","{""favorable_training_seed_mean_count_ge_threshold"": true, ""pooled_detection_probability_ge_threshold"": true, ""pooled_mean_delta_negative"": true, ""safety_numerical_incomplete_failures_zero"": true}"
drift,drift_10pct,UNSUPPORTED,0.06666666666666667,0.0,0.2,0.0,-0.5828300218820724,-0.08784261508880356,-1.660356387330691,-0.0002910632267227875,8,3,0,"{""all_training_seed_detection_probability_ge_threshold"": false, ""all_training_seed_mean_delta_negative"": true, ""favorable_pair_count_ge_threshold"": false, ""safety_numerical_incomplete_failures_zero"": true}","{""favorable_training_seed_mean_count_ge_threshold"": true, ""pooled_detection_probability_ge_threshold"": false, ""pooled_mean_delta_negative"": true, ""safety_numerical_incomplete_failures_zero"": true}"
drift,drift_15pct,UNSUPPORTED,0.13333333333333333,0.2,0.2,0.0,-1.220510373381806,-0.8582228982599727,-2.802556192608169,-0.0007520292772751347,8,3,0,"{""all_training_seed_detection_probability_ge_threshold"": false, ""all_training_seed_mean_delta_negative"": true, ""favorable_pair_count_ge_threshold"": false, ""safety_numerical_incomplete_failures_zero"": true}","{""favorable_training_seed_mean_count_ge_threshold"": true, ""pooled_detection_probability_ge_threshold"": false, ""pooled_mean_delta_negative"": true, ""safety_numerical_incomplete_failures_zero"": true}"
