endpoint,family,condition_label,point_estimate_mean_of_training_seed_means,ci95_low,ci95_high,bootstrap_probability_delta_lt_zero,analysis_seed,bootstrap_replicates,training_seed_clusters,simulation_seeds_per_cluster
mean_paired_c3_minus_b_fault_window_rmse,bias,bias_10pct,-4.547572922475831,-4.877130812662917,-4.084985594008169,1.0,20260918,20000,3,5
mean_paired_c3_minus_b_fault_window_rmse,bias,bias_15pct,-7.000847936564139,-7.333915021827977,-6.5088021950572434,1.0,20260918,20000,3,5
mean_paired_c3_minus_b_fault_window_rmse,bias,bias_2.5pct,-0.5244279024337035,-0.8728359315943311,-0.06726797073755043,0.9851,20260918,20000,3,5
mean_paired_c3_minus_b_fault_window_rmse,bias,bias_5pct,-1.9232201253442016,-2.262268299823329,-1.4764464433251598,1.0,20260918,20000,3,5
mean_paired_c3_minus_b_fault_window_rmse,combined_bias_load,combined_bias_15pct_load_0.15Nm,-6.300033287644421,-7.2481099493763566,-5.559147771682535,1.0,20260918,20000,3,5
mean_paired_c3_minus_b_fault_window_rmse,combined_bias_load,combined_bias_15pct_load_0.1Nm,-6.568228469875327,-7.256239800397201,-5.9857660530947685,1.0,20260918,20000,3,5
mean_paired_c3_minus_b_fault_window_rmse,combined_bias_load,combined_bias_5pct_load_0.15Nm,-0.7211217909731765,-1.617214341322284,0.026889948708420264,0.9681,20260918,20000,3,5
mean_paired_c3_minus_b_fault_window_rmse,combined_bias_load,combined_bias_5pct_load_0.1Nm,-0.9115940527102588,-1.6937856082815537,-0.2681490598965088,0.99895,20260918,20000,3,5
mean_paired_c3_minus_b_fault_window_rmse,drift,drift_10pct,-0.5828300218820724,-1.5714794757380763,-0.0002309259297198274,0.9999,20260918,20000,3,5
mean_paired_c3_minus_b_fault_window_rmse,drift,drift_15pct,-1.2205103733818057,-2.7710240620261897,-0.0007476667995059454,0.9998,20260918,20000,3,5
mean_paired_c3_minus_b_fault_window_rmse,drift,drift_2.5pct,0.15749107506294943,-0.06434278214812263,0.5778905764904876,0.20025,20260918,20000,3,5
mean_paired_c3_minus_b_fault_window_rmse,drift,drift_5pct,-0.08764327067540371,-0.4966921984838811,0.34800071597828885,0.6967,20260918,20000,3,5
mean_paired_c3_minus_b_fault_window_rmse,dropout,dropout_0.1s,0.4583989861213304,-0.13874532446769255,1.425865245583623,0.10375,20260918,20000,3,5
mean_paired_c3_minus_b_fault_window_rmse,dropout,dropout_0.5s,-3.031083497305435,-4.225665774058176,-1.411671848713109,1.0,20260918,20000,3,5
mean_paired_c3_minus_b_fault_window_rmse,dropout,dropout_1s,-9.431048589972544,-10.551503851903659,-7.89353782891128,1.0,20260918,20000,3,5
mean_paired_c3_minus_b_fault_window_rmse,dropout,dropout_2s,-19.508301180086576,-20.282188049807473,-18.551349198163326,1.0,20260918,20000,3,5
mean_paired_c3_minus_b_fault_window_rmse,load,load_0.06Nm,0.482315221664451,-0.00038482850923088856,1.099538911045463,0.04095,20260918,20000,3,5
mean_paired_c3_minus_b_fault_window_rmse,load,load_0.15Nm,1.0680496345024586,0.3629596008450657,1.758601762562959,0.00215,20260918,20000,3,5
mean_paired_c3_minus_b_fault_window_rmse,load,load_0.1Nm,0.5269239974159065,0.000330488942476137,1.2435431732735167,0.014,20260918,20000,3,5
mean_paired_c3_minus_b_fault_window_rmse,load,load_0.2Nm,3.0838405956409543,1.6471392006357257,4.184516012364068,0.0,20260918,20000,3,5
