family,condition_label,training_seed,simulation_seed,bias_percent,dropout_duration_s,drift_final_percent,post_step_load_Nm,b_fault_window_rmse,c3_fault_window_rmse,c3_minus_b_fault_window_rmse,favorable_c3_minus_b,b_overall_rmse,c3_overall_rmse,c3_sensor_fault_detected,c3_detection_latency_s,c3_reliability_entries,c3_post_event_reliability_entries,c3_sub_fraction,c3_frac_phys,c3_frac_main,c3_frac_aux,c3_frac_fb,c3_event_frac_phys,c3_event_frac_main,c3_event_frac_aux,c3_event_frac_fb,c3_recovery_events,c3_recovery_latency_s,c3_recovered_after_event
bias,bias_10pct,2026,59026,10.0,,,,5.591566198812126,0.25646438691589335,-5.335101811896233,True,11.370561099596,10.814365654082673,True,0.020000000000000018,1,1,0.6672212978369384,0.33277870216306155,0.6672212978369384,0.0,0.0,0.0,1.0,0.0,0.0,0,,False
bias,bias_10pct,2026,59027,10.0,,,,5.388924346781952,0.4674412071610659,-4.921483139620886,True,11.31888707719532,10.81316138508455,True,0.020000000000000018,1,1,0.670549084858569,0.32945091514143093,0.670549084858569,0.0,0.0,0.0,1.0,0.0,0.0,0,,False
bias,bias_10pct,2026,59028,10.0,,,,5.6511840457976374,0.2864128856114756,-5.364771160186162,True,11.36716812594545,10.813439649260706,True,0.020000000000000018,1,1,0.6672212978369384,0.33277870216306155,0.6672212978369384,0.0,0.0,0.0,1.0,0.0,0.0,0,,False
bias,bias_10pct,2026,59029,10.0,,,,5.468091184078132,0.8110631510172468,-4.657028033060885,True,11.334592339969959,10.820978843196876,True,0.020000000000000018,1,1,0.6672212978369384,0.33277870216306155,0.6672212978369384,0.0,0.0,0.0,1.0,0.0,0.0,0,,False
bias,bias_10pct,2026,59030,10.0,,,,5.340322097100226,3.2508110638308585,-2.0895110332693676,True,11.337458876847727,11.213940961846777,False,,1,0,0.9184692179700499,0.08153078202995008,0.17470881863560733,0.7437603993344426,0.0,0.0,0.0,1.0,0.0,0,,False
bias,bias_10pct,2027,59026,10.0,,,,5.576012992899001,1.204317657764339,-4.371695335134662,True,11.365018716514431,11.113450435001903,False,,1,0,0.8585690515806988,0.14143094841930118,0.0,0.8585690515806988,0.0,0.0,0.0,1.0,0.0,0,,False
bias,bias_10pct,2027,59027,10.0,,,,5.589609078672533,1.1804335374140416,-4.409175541258492,True,11.374251195145082,11.114936978544394,False,,1,0,0.9234608985024958,0.07653910149750416,0.13477537437603992,0.7886855241264559,0.0,0.0,0.0,1.0,0.0,0,,False
bias,bias_10pct,2027,59028,10.0,,,,5.646834842733676,0.7021171564645521,-4.944717686269124,True,11.386456521765105,10.84242919138909,True,0.020000000000000018,1,1,0.6672212978369384,0.33277870216306155,0.6672212978369384,0.0,0.0,0.0,1.0,0.0,0.0,0,,False
bias,bias_10pct,2027,59029,10.0,,,,5.596349917847147,0.5017481714859833,-5.094601746361164,True,11.371914912933338,10.823734336798125,True,0.020000000000000018,1,1,0.6672212978369384,0.33277870216306155,0.6672212978369384,0.0,0.0,0.0,1.0,0.0,0.0,0,,False
bias,bias_10pct,2027,59030,10.0,,,,5.5568868904638995,1.5902289633332958,-3.966657927130604,True,11.354862480940003,11.305131336789039,False,,1,0,0.9001663893510815,0.09983361064891846,0.1281198003327787,0.7720465890183028,0.0,0.0,0.0,1.0,0.0,0,,False
bias,bias_10pct,2028,59026,10.0,,,,5.532439616014205,0.8761074641692915,-4.6563321518449134,True,11.361629208041327,10.852147954612446,True,0.020000000000000018,1,1,0.6672212978369384,0.33277870216306155,0.6672212978369384,0.0,0.0,0.0,1.0,0.0,0.0,0,,False
bias,bias_10pct,2028,59027,10.0,,,,5.204370857977735,0.7933597285241265,-4.411011129453609,True,11.29662614248779,10.847302598894135,True,0.020000000000000018,1,1,0.670549084858569,0.32945091514143093,0.670549084858569,0.0,0.0,0.0,1.0,0.0,0.0,0,,False
bias,bias_10pct,2028,59028,10.0,,,,5.544585956496125,0.7900981517556777,-4.754487804740447,True,11.350241870510072,10.849628631581632,True,0.020000000000000018,1,1,0.6672212978369384,0.33277870216306155,0.6672212978369384,0.0,0.0,0.0,1.0,0.0,0.0,0,,False
bias,bias_10pct,2028,59029,10.0,,,,5.305951398019375,0.6035809111952525,-4.7023704868241225,True,11.31586887660266,10.839880100113486,True,0.020000000000000018,1,1,0.6672212978369384,0.33277870216306155,0.6672212978369384,0.0,0.0,0.0,1.0,0.0,0.0,0,,False
bias,bias_10pct,2028,59030,10.0,,,,5.294843978758087,0.7601951286712975,-4.53464885008679,True,11.33696835280812,10.855046445770009,True,0.020000000000000018,1,1,0.670549084858569,0.32945091514143093,0.670549084858569,0.0,0.0,0.0,1.0,0.0,0.0,0,,False
bias,bias_15pct,2026,59026,15.0,,,,8.11127363397634,0.25646438691589335,-7.854809247060447,True,12.002767899277414,10.814365654082673,True,0.020000000000000018,1,1,0.6672212978369384,0.33277870216306155,0.6672212978369384,0.0,0.0,0.0,1.0,0.0,0.0,0,,False
bias,bias_15pct,2026,59027,15.0,,,,7.860065706539406,0.4674412071610659,-7.39262449937834,True,11.92823480156838,10.81316138508455,True,0.020000000000000018,1,1,0.670549084858569,0.32945091514143093,0.670549084858569,0.0,0.0,0.0,1.0,0.0,0.0,0,,False
bias,bias_15pct,2026,59028,15.0,,,,8.106943091078918,0.2864128856114756,-7.820530205467442,True,11.975993243384883,10.813439649260706,True,0.020000000000000018,1,1,0.6672212978369384,0.33277870216306155,0.6672212978369384,0.0,0.0,0.0,1.0,0.0,0.0,0,,False
bias,bias_15pct,2026,59029,15.0,,,,7.828575152199773,0.8110631510172468,-7.017512001182526,True,11.901962820078653,10.820978843196876,True,0.020000000000000018,1,1,0.6672212978369384,0.33277870216306155,0.6672212978369384,0.0,0.0,0.0,1.0,0.0,0.0,0,,False
bias,bias_15pct,2026,59030,15.0,,,,7.70039969009856,3.2508110638308585,-4.449588626267701,True,11.934466374788851,11.213940961846777,False,,1,0,0.9184692179700499,0.08153078202995008,0.17470881863560733,0.7437603993344426,0.0,0.0,0.0,1.0,0.0,0,,False
bias,bias_15pct,2027,59026,15.0,,,,8.04288372536321,1.204317657764339,-6.838566067598871,True,11.955889413865592,11.113450435001903,False,,1,0,0.8585690515806988,0.14143094841930118,0.0,0.8585690515806988,0.0,0.0,0.0,1.0,0.0,0,,False
bias,bias_15pct,2027,59027,15.0,,,,8.086903719327818,1.1804335374140416,-6.906470181913777,True,11.972331662592573,11.114936978544394,False,,1,0,0.9234608985024958,0.07653910149750416,0.13477537437603992,0.7886855241264559,0.0,0.0,0.0,1.0,0.0,0,,False
