family,condition_label,training_seed,run_count,detection_probability,mean_detection_latency_s_when_detected,mean_substitution_fraction,mean_frac_phys,mean_frac_main,mean_frac_aux,mean_frac_fb,mean_event_frac_phys,mean_event_frac_main,mean_event_frac_aux,mean_event_frac_fb,total_recovery_events,recovery_probability_when_defined,mean_recovery_latency_s_when_defined,mean_post_event_reliability_active_duration_s_when_defined,mean_total_sub_duration_s,mean_source_switch_episode_duration_s
bias,bias_10pct,2026,5,0.8,0.020000000000000018,0.7181364392678868,0.2818635607321131,0.5693843594009983,0.14875207986688851,0.0,0.0,0.8,0.2,0.0,0,0.0,,3.98,4.316,2.2399999999999998
bias,bias_10pct,2027,5,0.4,0.020000000000000018,0.8033277870216307,0.19667221297836937,0.3194675540765391,0.48386023294509145,0.0,0.0,0.4,0.6,0.0,0,0.0,,3.98,4.828,2.44
bias,bias_10pct,2028,5,1.0,0.020000000000000018,0.6685524126455906,0.33144758735440927,0.6685524126455906,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,,3.9799999999999995,4.018,2.2
bias,bias_15pct,2026,5,0.8,0.020000000000000018,0.7181364392678868,0.2818635607321131,0.5693843594009983,0.14875207986688851,0.0,0.0,0.8,0.2,0.0,0,0.0,,3.98,4.316,2.2399999999999998
bias,bias_15pct,2027,5,0.4,0.020000000000000018,0.8033277870216307,0.19667221297836937,0.3194675540765391,0.48386023294509145,0.0,0.0,0.4,0.6,0.0,0,0.0,,3.98,4.828,2.44
bias,bias_15pct,2028,5,1.0,0.020000000000000018,0.6685524126455906,0.33144758735440927,0.6685524126455906,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,,3.9799999999999995,4.018,2.2
bias,bias_2.5pct,2026,5,0.8,0.020000000000000018,0.7178036605657238,0.2821963394342762,0.5690515806988352,0.14875207986688851,0.0,0.001,0.799,0.2,0.0,0,0.0,,3.98,4.313999999999999,1.94
bias,bias_2.5pct,2027,5,0.4,0.020000000000000018,0.8029950083194676,0.19700499168053243,0.319134775374376,0.48386023294509145,0.0,0.001,0.399,0.6,0.0,0,0.0,,3.98,4.826,2.1399999999999997
bias,bias_2.5pct,2028,5,1.0,0.020000000000000018,0.6682196339434275,0.33178036605657235,0.6682196339434275,0.0,0.0,0.001,0.999,0.0,0.0,0,0.0,,3.9799999999999995,4.016,1.9
bias,bias_5pct,2026,5,0.8,0.020000000000000018,0.7181364392678868,0.2818635607321131,0.5693843594009983,0.14875207986688851,0.0,0.0,0.8,0.2,0.0,0,0.0,,3.98,4.316,2.2399999999999998
