scenario,seed,step,time_s,raw_residual,residual_gate,cusum_score,cusum_threshold,prior_healthy_run,exit_count,aux_residual,aux_recovery_gate,residual_condition,cusum_condition,persistence_condition,auxiliary_condition,blocked_by_residual,blocked_by_cusum,blocked_by_persistence,blocked_only_by_auxiliary,recovered_this_step
combined_fault_load,29026,303,3.0300000000000002,2.887169219857604,0.937210063934329,11.407305392245183,1.5696827323213676,0,5,2.645463546734952,9.047693252563477,False,False,False,True,True,True,False,False,False
combined_fault_load,29026,304,3.04,2.7932777057311142,0.937210063934329,14.069614017296717,1.5696827323213676,0,5,2.59282903955571,9.047693252563477,False,False,False,True,True,True,False,False,False
combined_fault_load,29026,305,3.0500000000000003,2.7830532710898623,0.937210063934329,16.721698207706996,1.5696827323213676,0,5,2.6405914385330718,9.047693252563477,False,False,False,True,True,True,False,False,False
combined_fault_load,29026,306,3.06,2.2226839886795915,0.937210063934329,18.813413115707007,1.5696827323213676,0,5,2.0529955644862383,9.047693252563477,False,False,False,True,True,True,False,False,False
combined_fault_load,29026,307,3.0700000000000003,2.2176387888874416,0.937210063934329,20.900082823914868,1.5696827323213676,0,5,2.0239085009959723,9.047693252563477,False,False,False,True,True,True,False,False,False
combined_fault_load,29026,308,3.08,1.845985890654859,0.937210063934329,22.615099633890146,1.5696827323213676,0,5,1.6809759074431625,9.047693252563477,False,False,False,True,True,True,False,False,False
combined_fault_load,29026,309,3.09,1.6301177659937736,0.937210063934329,24.11424831920434,1.5696827323213676,0,5,1.5728918359243522,9.047693252563477,False,False,False,True,True,True,False,False,False
combined_fault_load,29026,310,3.1,1.7982421762746412,0.937210063934329,25.7815214147994,1.5696827323213676,0,5,1.8862650074090723,9.047693252563477,False,False,False,True,True,True,False,False,False
combined_fault_load,29026,311,3.11,1.5441572451167218,0.937210063934329,27.19470957923654,1.5696827323213676,0,5,1.663753136908099,9.047693252563477,False,False,False,True,True,True,False,False,False
combined_fault_load,29026,312,3.12,1.4387518042638874,0.937210063934329,28.502492302820848,1.5696827323213676,0,5,1.620748818202614,9.047693252563477,False,False,False,True,True,True,False,False,False
