controller,scenario,seed,overall_rmse,overall_mae,fault_window_rmse,recovery_latency_s,reliability_entries,recovery_events,false_recovery_events,sub_duration_s,sub_fraction,switches,avg_episode_duration_s,frac_phys,frac_main,frac_aux,frac_fb,event_frac_aux,event_frac_fb,control_effort_u2,control_variation_du2,voltage_violations,rate_violations,optimizer_failures,main_prediction_failures,aux_prediction_failures,prediction_failure_messages,nonfinite_events,mean_solve_ms,mean_aux_inference_ms,mean_reliability_update_ms,mean_arbitration_ms,mean_extension_ms,mean_control_compute_ms,sim_time_s,main_virtual_rmse,main_virtual_mae,aux_virtual_rmse,aux_virtual_mae,selected_virtual_rmse,selected_virtual_mae,corrupted_rmse,corrupted_mae,sub_samples,genuine_sensor_fault_entries,genuine_sensor_fault_entries_permitted,false_sensor_fault_entries,suppressed_entry_count,suppressed_candidate_samples,suppressed_false_entry_count,suppressed_false_entries,genuine_sensor_fault_suppressed,genuine_sensor_fault_entries_suppressed,suppression_episodes,attributor_suppression_episodes,c3_candidate_samples,c3_new_entry_candidate_samples,attribution_switches,mean_attribution_dwell_s,auxiliary_misuse_events,aux_selected_while_witness_unready_samples,aux_witness_ready_fraction,untrusted_aux_fraction,untrusted_aux_candidate_samples,mean_attribution_ms,median_attribution_ms,p95_attribution_ms,p99_attribution_ms,attr_frac_normal,attr_frac_likely_sensor_fault,attr_frac_likely_plant_or_main_mismatch,attr_frac_likely_aux_mismatch,attr_frac_ambiguous,detection_latency_s,detected_event,sensor_fault_detected
B_plain_MPC,changing_reference,19026,7.276291670404863,4.224700746530063,7.276291670404863,,0,0.0,0.0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6480.822694674993,205.57074586636503,0,0,0,0,0,,0,84.71246942162381,0.0,0.0,0.0,0.0,84.73504876035969,10.770831000001635,,,,,,,,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,
C3_arbitration_MPC,changing_reference,19026,7.276291670404863,4.224700746530063,7.276291670404863,,0,0.0,0.0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6480.822694674993,205.57074586636503,0,0,0,0,0,,0,87.04211652889359,0.4044672978046894,0.009704647156856344,0.006288984533368887,0.4204609294949146,87.06467520664586,11.307863399999405,,,,,,,,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,
C4_attribution_MPC,changing_reference,19026,7.276291670404863,4.224700746530063,7.276291670404863,,0,,,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6480.822694674993,205.57074586636503,0,0,0,0,0,,0,86.67614462809836,0.42254371772400123,0.008004130846817767,0.005619105030215472,0.48896385548801524,86.7009132233468,11.328113000001395,,,,,,,,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,19.0,0.29050000000000004,0,0.0,0.7762478485370051,0.22375215146299485,0.0,0.052796901886980774,0.05410000085248612,0.0808000004326459,0.09903999998641669,0.5851979345955249,0.0,0.0,0.0,0.41480206540447506,,,
B_plain_MPC,changing_reference,19027,7.182593774073718,4.225342891578801,7.182593774073718,,0,0.0,0.0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6657.148829726117,218.17960161514273,0,0,0,0,0,,0,81.50778512387383,0.0,0.0,0.0,0.0,81.53226528932366,10.41060909999942,,,,,,,,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,
C3_arbitration_MPC,changing_reference,19027,7.182593774073718,4.225342891578801,7.182593774073718,,0,0.0,0.0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6657.148829726117,218.17960161514273,0,0,0,0,0,,0,76.95319917350818,0.4061705679770228,0.009411531810591834,0.005966609299253823,0.4215487090868684,76.97464297512656,10.073035200000959,,,,,,,,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,
C4_attribution_MPC,changing_reference,19027,7.182593774073718,4.225342891578801,7.182593774073718,,0,,,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6657.148829726117,218.17960161514273,0,0,0,0,0,,0,80.12748264462228,0.4087664371915352,0.007789845088165792,0.0057516351360785605,0.47563889846078977,80.15404958678118,10.517091899999286,,,,,,,,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,21.0,0.2640909090909091,0,0.0,0.7762478485370051,0.22375215146299485,0.0,0.05333098104501022,0.052600000344682485,0.08440000055998098,0.12137999947299263,0.5869191049913941,0.0,0.0,0.0,0.41308089500860584,,,
B_plain_MPC,changing_reference,19028,7.146432138501082,4.159098272854395,7.146432138501082,,0,0.0,0.0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6592.735590616078,213.5141668256268,0,0,0,0,0,,0,85.5702404959261,0.0,0.0,0.0,0.0,85.59326033059169,10.88172669999949,,,,,,,,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,
C3_arbitration_MPC,changing_reference,19028,7.146432138501082,4.159098272854395,7.146432138501082,,0,0.0,0.0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6592.735590616078,213.5141668256268,0,0,0,0,0,,0,80.51673140495447,0.3968592082791867,0.009672805481230064,0.0059352840099859625,0.41246729777040275,80.53753636355877,10.495980699999564,,,,,,,,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,
C4_attribution_MPC,changing_reference,19028,7.146432138501082,4.159098272854395,7.146432138501082,,0,,,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6592.735590616078,213.5141668256268,0,0,0,0,0,,0,82.96002396683953,0.4092027538498802,0.007598278807720014,0.005586574862403763,0.4739292598781921,82.98517768602593,10.851142100000288,,,,,,,,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,13.0,0.41500000000000004,0,0.0,0.7762478485370051,0.22375215146299485,0.0,0.05154165235818817,0.05210000017541461,0.07790000017848797,0.09903999998641669,0.5524956970740104,0.0,0.0,0.0,0.4475043029259897,,,
B_plain_MPC,changing_reference,19029,7.119224157758013,4.242969810199028,7.119224157758013,,0,0.0,0.0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6719.412302988122,224.3993058485749,0,0,0,0,0,,0,79.59737438021658,0.0,0.0,0.0,0.0,79.61910082640541,10.124486900000193,,,,,,,,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,
