controller,scenario,seed,overall_rmse,overall_mae,fault_window_rmse,recovery_latency_s,reliability_entries,recovery_events,false_recovery_events,sub_duration_s,sub_fraction,switches,avg_episode_duration_s,frac_phys,frac_main,frac_aux,frac_fb,event_frac_aux,event_frac_fb,control_effort_u2,control_variation_du2,voltage_violations,rate_violations,optimizer_failures,main_prediction_failures,aux_prediction_failures,prediction_failure_messages,nonfinite_events,mean_solve_ms,mean_aux_inference_ms,mean_reliability_update_ms,mean_arbitration_ms,mean_extension_ms,mean_control_compute_ms,sim_time_s,main_virtual_rmse,main_virtual_mae,aux_virtual_rmse,aux_virtual_mae,selected_virtual_rmse,selected_virtual_mae,corrupted_rmse,corrupted_mae,sub_samples,baseline_provenance,baseline_matrix_sha256,timing_samples,genuine_sensor_fault_entries,genuine_sensor_fault_entries_permitted,false_sensor_fault_entries,suppressed_entry_count,suppressed_candidate_samples,suppressed_false_entry_count,suppressed_false_entries,genuine_sensor_fault_suppressed,genuine_sensor_fault_entries_suppressed,suppression_episodes,attributor_suppression_episodes,c3_candidate_samples,c3_new_entry_candidate_samples,attribution_switches,mean_attribution_dwell_s,auxiliary_misuse_events,aux_selected_while_witness_unready_samples,aux_witness_ready_fraction,untrusted_aux_fraction,untrusted_aux_candidate_samples,mean_attribution_ms,median_attribution_ms,p95_attribution_ms,p99_attribution_ms,attr_frac_normal,attr_frac_likely_sensor_fault,attr_frac_likely_plant_or_main_mismatch,attr_frac_likely_aux_mismatch,attr_frac_ambiguous,detection_latency_s,detected_event,sensor_fault_detected,run_complete,completed_samples,event_sub_fraction,false_substitution_count,false_substitution_fraction,ekf_substitution_rmse,ekf_substitution_mae,ekf_substitution_bias,corrupted_sensor_substitution_rmse,corrupted_sensor_substitution_mae,corrupted_sensor_substitution_bias,ekf_speed_rmse_all_samples,ekf_speed_mae_all_samples,ekf_speed_bias_all_samples,ekf_speed_rmse_event_window,ekf_speed_mae_event_window,ekf_speed_bias_event_window,parameter_transfer_estimator_speed_rmse,ekf_numerical_failures,ekf_nonfinite_failures,ekf_psd_failures,ekf_symmetry_failures,ekf_finite_sample_rate,ekf_failure_step,ekf_failure_message,ekf_min_cov_eigenvalue,ekf_max_cov_asymmetry,innovation_mean,innovation_mae,nis_mean,nis_p95,mean_main_inference_ms,mean_ekf_update_ms,median_ekf_update_ms,p95_ekf_update_ms,p99_ekf_update_ms,max_ekf_update_ms,total_reliability_observer_overhead_sample_count,mean_total_reliability_observer_overhead_ms,median_total_reliability_observer_overhead_ms,p95_total_reliability_observer_overhead_ms,p99_total_reliability_observer_overhead_ms,max_total_reliability_observer_overhead_ms,slsqp_solve_count,mean_slsqp_solve_ms,median_slsqp_solve_ms,p95_slsqp_solve_ms,p99_slsqp_solve_ms,max_slsqp_solve_ms,observer_parameter_mode
B_plain_MPC,combined_fault_load,19026,11.178312306928186,6.3765330602322265,4.049571421580525,,0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,7769.695512428688,164.87367510701986,0,0,0,0,0,,0,91.67023305794716,0.0,0.0,0.0,0.0,91.69118842971727,11.587977600000158,,,,,,,,,0,verified_frozen_c4_development_runs,108f7875ec8af675a4aa2dce5bec833735ff499be6ead588d3accce32efe3a15,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1_sensor_MPC,combined_fault_load,19026,13.496742423002699,9.630327020863582,11.42907480628712,,1,0.0,0.0,3.0100000000000002,0.5008319467554077,1.0,3.0,0.49916805324459235,0.5008319467554077,0.0,0.0,0.0,0.0,6130.58705023131,92.42493536442002,0,0,0,0,0,,0,40.834532231449636,0.0,0.0,0.0,0.0,40.85270413210205,5.264954999998736,11.427828883936746,10.419694639022334,,,11.427828883936746,10.419694639022334,3.2718955346066947,3.2623865878173905,301,rerun_v3_simulate_v3_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3_arbitration_MPC,combined_fault_load,19026,11.180626239503011,6.233449749467859,4.062306114387456,,1,0.0,0.0,3.0100000000000002,0.5008319467554077,2.0,2.0,0.49916805324459235,0.10149750415973377,0.39933444259567386,0.0,0.7973421926910299,0.0,8524.040779491417,197.02107324126644,0,0,0,0,0,,0,73.76339338851955,0.40152753874700714,0.009350602381119125,0.007128743533208957,0.41800688466133523,73.79096942145412,9.678556400000161,2.2547841349482973,1.8650946494327736,1.6329589047586128,1.4142828550946214,2.1569876064745155,1.7815313853710748,3.271895534606695,3.2623865878173914,301,verified_frozen_c4_development_runs,108f7875ec8af675a4aa2dce5bec833735ff499be6ead588d3accce32efe3a15,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E_EKF_virtual_MPC,combined_fault_load,19026,11.154317983938045,6.315820988052428,3.91523897907659,,1,0.0,,3.0100000000000002,0.5008319467554077,,,,,,,,,7651.091432705421,86.50116613881502,0,0,0,0,0,,0,55.63901983476186,0.2770394146773626,0.010132874462506276,,,55.66349834729152,7.421630000000732,,,,,,,,,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,True,True,601.0,1.0,0.0,0.0,3.2697869313996972,3.1823054251643494,3.1823054251643494,3.2718955346066947,3.2623865878173905,3.2623865878173905,2.324781371154861,1.727972668716692,1.727972668716692,3.2697869313996972,3.1823054251643494,3.1823054251643494,,0.0,0.0,0.0,0.0,1.0,,,1.6595399844177022e-08,0.0,0.003428866333785073,0.003428866333785073,0.12525581075893114,0.35644731372487604,0.5434931152009905,0.25207537443253303,0.198500001715729,0.5541999998968095,0.8065000001806766,0.9242000014637597,601.0,0.5296911814046857,0.42689999827416614,1.0801999960676767,1.533500002551591,1.7581000029167626,121.0,55.63901983476186,53.73680000047898,100.49090000029537,112.2858000002452,136.39060000059544,fixed_nominal
B_plain_MPC,combined_fault_load,19027,11.270207088041886,6.623374699470113,4.495722635575656,,0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,8038.788663267426,177.9291531471439,0,0,0,0,0,,0,84.69515371898298,0.0,0.0,0.0,0.0,84.71607933891143,10.742847800000163,,,,,,,,,0,verified_frozen_c4_development_runs,108f7875ec8af675a4aa2dce5bec833735ff499be6ead588d3accce32efe3a15,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1_sensor_MPC,combined_fault_load,19027,13.764350609011478,10.096215216226947,12.03676204997617,,1,0.0,0.0,3.0100000000000002,0.5008319467554077,1.0,3.0,0.49916805324459235,0.5008319467554077,0.0,0.0,0.0,0.0,6137.758346254694,99.978734424614,0,0,0,0,0,,0,41.98618099187964,0.0,0.0,0.0,0.0,42.00356942141493,5.414067800000339,12.03820549690279,11.21409477812314,,,12.03820549690279,11.21409477812314,3.2494341674373737,3.238793520509917,301,rerun_v3_simulate_v3_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3_arbitration_MPC,combined_fault_load,19027,11.134495239191281,6.181265473545023,3.7603798306871674,,1,0.0,0.0,3.0100000000000002,0.5008319467554077,2.0,2.0,0.49916805324459235,0.07154742096505824,0.4292845257903494,0.0,0.8571428571428571,0.0,8424.711750510152,215.83475596518159,0,0,0,0,0,,0,75.23193719008448,0.38268795180177656,0.00923820999073283,0.006497418271245839,0.3984235800637552,75.25878595048152,9.824432100000195,2.2311064041232895,1.9083504761777534,1.8265735803479306,1.6263713740446677,2.1264960988993287,1.8167350664887822,3.2494341674373732,3.2387935205099168,301,verified_frozen_c4_development_runs,108f7875ec8af675a4aa2dce5bec833735ff499be6ead588d3accce32efe3a15,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E_EKF_virtual_MPC,combined_fault_load,19027,11.162444078032081,6.404560831544282,3.9223377282194836,,1,0.0,,3.0100000000000002,0.5008319467554077,,,,,,,,,7784.477732725748,102.87437245258664,0,0,0,0,0,,0,55.78034049573365,0.2686161789508627,0.009958175595660602,,,55.80270000003915,7.428020600000309,,,,,,,,,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,True,True,601.0,1.0,0.0,0.0,3.2697869313988055,3.1823054251634746,3.1823054251634746,3.2494341674373732,3.2387935205099168,3.2387935205099168,2.3247813711542333,1.7279726687163137,1.7279726687163137,3.2697869313988055,3.1823054251634746,3.1823054251634746,,0.0,0.0,0.0,0.0,1.0,,,1.659539984417702e-08,0.0,0.0034288663337843327,0.0034288663337843327,0.12525581075886344,0.35644731372475097,0.5393858864565224,0.24932512489322592,0.19560000146157108,0.5387000019254629,0.6909999974595848,0.8144999992509838,601.0,0.5186291182235587,0.422200006141793,1.0326000046916306,1.314900004217634,1.5930999979900662,121.0,55.78034049573365,53.65359999996144,101.53469999931986,112.43095999961952,120.5082999986189,fixed_nominal
B_plain_MPC,combined_fault_load,19028,11.316040077741404,6.7607148193557185,4.6665063615159355,,0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,8163.784111888827,188.74878911518988,0,0,0,0,0,,0,79.85141652877118,0.0,0.0,0.0,0.0,79.87365785111025,10.143509300000005,,,,,,,,,0,verified_frozen_c4_development_runs,108f7875ec8af675a4aa2dce5bec833735ff499be6ead588d3accce32efe3a15,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1_sensor_MPC,combined_fault_load,19028,13.698820838603044,10.057228831899055,11.865416859733125,,1,0.0,0.0,3.0100000000000002,0.5008319467554077,1.0,3.0,0.49916805324459235,0.5008319467554077,0.0,0.0,0.0,0.0,6269.520760858184,113.73742185764586,0,0,0,0,0,,0,42.30473223155555,0.0,0.0,0.0,0.0,42.32415785105136,5.469915599998785,11.851793709599384,10.984033127981197,,,11.851793709599384,10.984033127981197,3.2957739410584543,3.285724723773721,301,rerun_v3_simulate_v3_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
