controller,scenario,RMSE,IAE,ISE,overshoot_percent,settling_time_s,control_effort,voltage_violations,rate_violations,recovery_time_s,optimizer_failure_count,optimizer_success_rate,average_computation_ms,sensor_substitution_rate,high_mode_fraction,switches_per_second,safety_events
A_PI,combined_load_sensor,9.284526659494876,42.763354192152576,516.0159589947136,27.93599345203942,,38.266319586644464,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0
B_plain_MPC,combined_load_sensor,8.128987850698918,37.12359808669492,395.09546950035775,20.98279994031401,,194.89661390277143,0,0,,0,1.0,159.6686636363858,0.0,0.0,0.0,0
C_sensor_MPC,combined_load_sensor,7.756204341628266,34.41489602162975,359.4956728870838,27.312575904668726,,190.49014756425143,0,0,,0,1.0,168.37354710742522,0.04492512479201331,0.0,0.3333333333333333,0
D_adaptive,combined_load_sensor,9.346516275216493,42.99477447621129,523.0144643329496,28.162821092276978,,134.76655455452902,0,0,0.0,0,1.0,95.88054214871906,0.036605657237936774,0.09151414309484193,1.3333333333333333,0
D_adaptive,drift,12.277315554658975,51.36509860600218,899.4192143148357,40.54602037403482,3.0500000000000003,145.71501347576097,0,0,0.96,0,1.0,177.7872743801964,0.0016638935108153079,0.09317803660565724,1.8333333333333333,0
D_adaptive,dropout,11.971283694735472,45.764788439662865,855.1759998797123,39.58512377541709,,124.94979728731904,0,0,0.6900000000000004,0,1.0,149.80360413222317,0.3410981697171381,0.09317803660565724,0.8333333333333334,0
D_adaptive,gaussian_noise,12.040943685561226,48.749408887284254,865.2249133631954,38.358670007924154,,109.77821375573689,0,0,,0,1.0,118.99147768591237,0.47420965058236275,0.07820299500831947,1.1666666666666667,0
D_adaptive,large_bias,12.144384199752256,48.12804476143215,880.2569161120912,41.50401483996555,,128.47274440203418,0,0,1.2800000000000002,0,1.0,125.07352066109166,0.36772046589018303,0.1048252911813644,1.5,0
A_PI,load_step,11.27916562802259,38.54210458551686,758.4614726365418,18.879242529126298,5.37,23.236730183705113,0,0,1.0700000000000003,0,1.0,0.0,0.0,0.0,0.0,0
B_plain_MPC,load_step,10.84972614684359,30.045254552722387,701.3499360528201,9.111596501584245,3.61,151.89693364408458,0,0,0.5100000000000002,0,1.0,201.18473305787165,0.0,0.0,0.0,0
C_sensor_MPC,load_step,10.84972614684359,30.045254552722387,701.3499360528201,9.111596501584245,3.61,151.89693364408458,0,0,0.5100000000000002,0,1.0,198.5849652893111,0.0,0.0,0.0,0
D_adaptive,load_step,11.82673480598938,42.86846142696006,834.3727831512174,39.88736473285075,2.93,107.94288547509578,0,0,0.0,0,1.0,144.3039471074326,0.0,0.08485856905158069,1.0,0
B_plain_MPC,nominal_changing,7.225433076932625,26.590043786871888,311.7629103198075,34.71404207132589,,211.36117662234548,0,0,,0,1.0,172.524157851317,0.0,0.0,0.0,0
B_plain_MPC,nominal_constant,10.82889436833008,28.076422804883684,698.6371443709721,10.375498752750616,2.7800000000000002,113.08281379816657,0,0,,0,1.0,205.27431404955053,0.0,0.0,0.0,0
A_PI,nominal_step,7.177617491220569,27.62996946103377,307.62318082587774,10.025137719765151,2.17,24.46002894920682,0,0,,0,1.0,0.0,0.0,0.0,0.0,0
B_plain_MPC,nominal_step,7.386075732525636,24.733129800356078,325.8701983553198,6.286127331586986,1.94,145.55794162655832,0,0,,0,1.0,191.36233057855682,0.0,0.0,0.0,0
C_sensor_MPC,nominal_step,7.386321019463282,24.811346209232113,325.89196601615384,6.286127331586986,1.94,148.53473753728295,0,0,,0,1.0,208.1805975206911,0.0016638935108153079,0.0,0.0,0
D_adaptive,nominal_step,9.52212907262541,35.11934101434009,542.9319661247332,7.219227338148251,2.8,156.60945715266166,0,0,,0,1.0,176.15790909092703,0.0,0.08485856905158069,0.5,0
A_PI,parameter_variation,11.192216132018366,36.914933887892516,746.7192519438235,18.905720700677804,4.5200000000000005,22.02250174388081,0,0,1.21,0,1.0,0.0,0.0,0.0,0.0,0
B_plain_MPC,parameter_variation,10.836419562743442,29.41751363408252,699.6151101210223,9.939897214980107,3.62,129.74188349742934,0,0,0.0,0,1.0,187.0617966942368,0.0,0.0,0.0,0
C_sensor_MPC,parameter_variation,10.836419562743442,29.41751363408252,699.6151101210223,9.939897214980107,3.62,129.74188349742934,0,0,0.0,0,1.0,147.13160247931438,0.0,0.0,0.0,0
D_adaptive,parameter_variation,11.688123882342163,39.51191936523336,814.9132408538239,38.830003027737604,4.96,102.60934386330356,0,0,0.0,0,1.0,160.13709338840422,0.0,0.08985024958402663,1.5,0
D_adaptive,small_bias,11.82460457707848,44.55667669960228,834.1969083518405,37.213922944629054,,137.93808626739187,0,0,0.6000000000000005,0,1.0,139.09461570251588,0.33943427620632277,0.06988352745424292,0.8333333333333334,0
A_PI,unseen_operating_point,24.521758596426157,80.51642729917776,3592.787296980304,2.723362624214408,2.52,21.917324903490996,0,0,,0,1.0,0.0,0.0,0.0,0.0,0
B_plain_MPC,unseen_operating_point,24.52438911408908,81.28434019803927,3593.559056207398,0.7150825013983291,2.5,27.481388320017977,0,0,,0,1.0,89.64297272729355,0.0,0.0,0.0,0
C_sensor_MPC,unseen_operating_point,24.525199433285522,81.42532400249549,3593.797026501776,0.7150825013983291,2.5,27.947628954735862,0,0,,0,1.0,58.858298347098575,0.036605657237936774,0.0,1.3333333333333333,0
D_adaptive,unseen_operating_point,24.90475848135275,93.4808860140196,3705.964018887805,16.78857246465609,2.5,24.662159906621326,0,0,,0,1.0,57.85531735538584,0.011647254575707155,0.07154742096505824,1.3333333333333333,0
