horizon,metric,rolling,scenario,auc_vs_clean_validation,mean_score
3,mae,mean,clean,0.559601479380824,0.30308303236961365
3,mae,mean,load_step,0.6575949056940534,0.25307556986808777
3,mae,mean,parameter_variation,0.5531655958277579,0.23786070942878723
3,mae,mean,voltage_change,0.5134562118480916,0.392584890127182
3,mae,mean,bias_pos_5,0.7626418318869391,2.4393091201782227
3,mae,mean,drift_positive,0.5736202779227878,0.3994276225566864
3,mae,rms,clean,0.5611003160658171,0.3240496516227722
3,mae,rms,load_step,0.6659326305081611,0.2762691080570221
3,mae,rms,parameter_variation,0.5574519810843362,0.25911685824394226
3,mae,rms,voltage_change,0.5117237241498265,0.41286730766296387
3,mae,rms,bias_pos_5,0.7645583764569098,2.4651334285736084
3,mae,rms,drift_positive,0.5784099480540474,0.42172864079475403
3,rms,mean,clean,0.5630399870699258,0.3372179865837097
3,rms,mean,load_step,0.6551024829838209,0.28862348198890686
3,rms,mean,parameter_variation,0.5585282909603971,0.2725948095321655
3,rms,mean,voltage_change,0.5131769424963682,0.42556437849998474
3,rms,mean,bias_pos_5,0.7678328239450947,2.463489532470703
3,rms,mean,drift_positive,0.5788677444825294,0.43357276916503906
3,normalized_rms,mean,clean,0.5630399870699258,1.2773456573486328
3,normalized_rms,mean,load_step,0.6551024829838209,1.0932750701904297
3,normalized_rms,mean,parameter_variation,0.5585282909603971,1.0325599908828735
3,normalized_rms,mean,voltage_change,0.5131769424963682,1.6119924783706665
3,normalized_rms,mean,bias_pos_5,0.7678328239450947,9.33143424987793
3,normalized_rms,mean,drift_positive,0.5788677444825294,1.6423274278640747
3,rms,rms,clean,0.5642073886869364,0.3588516414165497
3,rms,rms,load_step,0.6630565782734827,0.31236401200294495
3,rms,rms,parameter_variation,0.5634553529650466,0.2944335341453552
3,rms,rms,voltage_change,0.5130112839583825,0.44653794169425964
3,rms,rms,bias_pos_5,0.768718973585346,2.48933744430542
3,rms,rms,drift_positive,0.5836495317146093,0.4565144181251526
3,normalized_rms,rms,clean,0.5642073886869364,1.2615941762924194
3,normalized_rms,rms,load_step,0.6630565782734827,1.0981601476669312
3,normalized_rms,rms,parameter_variation,0.563455367671948,1.0351231098175049
3,normalized_rms,rms,voltage_change,0.5130112839583825,1.5698678493499756
3,normalized_rms,rms,bias_pos_5,0.768718973585346,8.75162124633789
3,normalized_rms,rms,drift_positive,0.5836495317146093,1.6049416065216064
5,mae,mean,clean,0.5619463258667556,0.3113821744918823
5,mae,mean,load_step,0.7168419879662836,0.2719455063343048
5,mae,mean,parameter_variation,0.5810862778555033,0.2497725784778595
5,mae,mean,voltage_change,0.5120079209258039,0.3994493782520294
5,mae,mean,bias_pos_5,0.7664674413991857,2.4426681995391846
5,mae,mean,drift_positive,0.583159025587882,0.4079532027244568
5,mae,rms,clean,0.5609128669876333,0.326094388961792
5,mae,rms,load_step,0.7283508365887869,0.29081496596336365
5,mae,rms,parameter_variation,0.5826476816185941,0.2648887038230896
5,mae,rms,voltage_change,0.508047207581668,0.41381385922431946
5,mae,rms,bias_pos_5,0.7669689739284405,2.4634265899658203
