scenario,seed,sub_samples,measured_rmse,main_virtual_rmse,aux_virtual_rmse,selected_virtual_rmse
combined_fault_load,29026,301,3.302680898957976,2.222019832351731,1.7209650006363095,2.1083324842197357
combined_fault_load,29027,301,3.2932721505060227,2.2052340618081034,1.7347019200283516,2.1004257489239526
combined_fault_load,29028,302,3.273436211917043,2.168006581245343,1.6142249394252641,2.0700482340618076
combined_fault_load,29029,302,3.2888005355761907,2.197856956680056,1.6566679277068816,2.098135708032317
combined_fault_load,29030,301,3.282886358323289,2.253848948766028,1.7749739843869001,2.1484813796972153
load_disturbance,29026,1,0.6787420772252233,0.2704393921310384,0.9869427721442889,0.2704393921310384
load_disturbance,29027,292,0.2512640400829514,2.248469946393824,1.671014050938634,2.1494130978569803
load_disturbance,29028,233,0.2414440946386516,2.3403771058777885,1.716776924457548,2.237973335898953
load_disturbance,29029,1,0.7383098863676345,0.23482561115414669,1.829697380060539,0.23482561115414669
load_disturbance,29030,290,0.2424263844412096,2.2134475005231966,1.6863784226183585,2.110217183126713
parameter_variation,29026,1,0.6787420772252233,0.2620426733304413,11.070658098972757,0.19688866529321558
parameter_variation,29028,1,0.6540265475567111,0.356375909875176,0.09814426163803347,0.356375909875176
parameter_variation,29029,1,0.7383098863676345,0.23482561115414669,1.829697380060539,0.23482561115414669
sensor_bias_15,29026,401,6.919494349784586,0.27143743092324796,0.31930176478920613,0.27143743092324796
sensor_bias_15,29027,401,6.900798774884752,0.3235386178066213,0.4017657604590202,0.3235386178066213
sensor_bias_15,29028,402,6.912553113967017,0.38848075656237313,0.32235235445061294,0.38848075656237313
sensor_bias_15,29029,402,6.921505583946726,0.27094101462061904,0.3252241566603206,0.27094101462061904
sensor_bias_15,29030,401,6.913411901770301,0.340950519595515,0.2850969198145838,0.340950519595515
sensor_bias_5,29026,401,2.3216688260955776,0.27143743092324796,0.31930176478920613,0.27143743092324796
sensor_bias_5,29027,401,2.3029839945481263,0.3235386178066213,0.4017657604590202,0.3235386178066213
sensor_bias_5,29028,402,2.3203778210368022,0.38848075656237313,0.32235235445061294,0.38848075656237313
sensor_bias_5,29029,402,2.32965179062255,0.27094101462061904,0.3252241566603206,0.27094101462061904
sensor_bias_5,29030,401,2.3145325426664827,0.340950519595515,0.2850969198145838,0.340950519595515
sensor_drift,29028,1,0.6540265475567111,0.356375909875176,0.09814426163803347,0.356375909875176
sensor_drift,29029,1,0.7383098863676345,0.23482561115414669,1.829697380060539,0.23482561115414669
sensor_drift,29030,1,4.03734717468808,3.054623666452784,0.037167655381495024,3.054623666452784
sensor_dropout,29026,401,24.64867401009035,0.27143743092324796,0.31930176478920613,0.27143743092324796
sensor_dropout,29027,401,24.602594820642324,0.3235386178066213,0.4017657604590202,0.3235386178066213
sensor_dropout,29028,402,24.47368803007711,0.38848075656237313,0.32235235445061294,0.38848075656237313
sensor_dropout,29029,402,24.618647870106052,0.27094101462061904,0.3252241566603206,0.27094101462061904
sensor_dropout,29030,401,24.964438849683408,0.340950519595515,0.2850969198145838,0.340950519595515
sensor_noise,29026,400,1.492411187139763,0.567495522156922,0.3604338662825106,0.567495522156922
sensor_noise,29027,399,1.4353741486251,1.0536930542483454,0.5237448805210064,1.0536930542483454
sensor_noise,29028,402,1.3837026739971152,0.38848075656237313,0.32235235445061294,0.38848075656237313
sensor_noise,29029,400,1.4360628629654,0.7155363581531996,0.4050590464570279,0.7155363581531996
sensor_noise,29030,399,1.5228865506283649,0.45320027774732663,0.2916729535041906,0.45320027774732663
