calibration_statistic,mean,sample_sd,min,max,range,coefficient_of_variation
residual_gate,0.9968475087483758,0.1150368668075726,0.9238751220703142,1.1294573402404842,0.20558221817016997,0.1154006663988265
residual_center,-0.004635254542032878,0.009756714034069679,-0.011078834533691406,0.0065898895263671875,0.017668724060058594,2.104892826401436
cusum_center,-0.004635254542032878,0.009756714034069679,-0.011078834533691406,0.0065898895263671875,0.017668724060058594,2.104892826401436
cusum_allowance,0.15058968562374686,0.020129899806335977,0.137604983620895,0.1737781739519911,0.03617319033109612,0.13367382847608283
cusum_threshold,1.7394642655142534,0.46110373774376173,1.3873226188948429,2.26138744532655,0.874064826431707,0.2650837656658854
sensor_signed_ewma_threshold,0.2601376708815906,0.05309263844219767,0.2001306189371716,0.30101288230081225,0.10088226336364065,0.20409438687703313
sensor_absolute_ewma_threshold,0.41419857125917686,0.058891663826620144,0.3769474360360253,0.48209373153912666,0.10514629550310134,0.14218219934363271
sensor_validation_alarm_rate,0.081475209332957,0.13953054951032678,0.0007056167090036692,0.24259102455546147,0.2418854078464578,1.7125522064033065
agreement_threshold,4.101638158162435,0.2604684095556605,3.824803352355957,4.341867446899414,0.517064094543457,0.06350350750402428
parameter_mismatch_threshold,9.150320434272006,0.7424230625488247,8.70095886233045,10.007257210369438,1.3062983480389878,0.08113629111480307
recovery_threshold,4.979181234657262,0.16186094720423078,4.794184195646824,5.094724013705336,0.30053981805851215,0.03250754282202229
auxiliary_recovery_gate,9.544152304331483,0.8092061707704924,9.047692775726327,10.477918777465836,1.4302260017395092,0.0847855466852981
v3_agreement_p95,5.139933904012044,0.11692889599112866,5.057783126831055,5.2738037109375,0.2160205841064453,0.022749104983598768
v3_agreement_p99,8.38550141652425,0.4610865250180501,8.000004196166989,8.896282577514649,0.8962783813476598,0.05498616029203037
v3_aux_prediction_min,0.12367757161458333,0.44116130892683053,-0.36809730529785156,0.4846363067626953,0.8527336120605469,3.5670275795972324
v3_aux_prediction_max,53.85136159261068,0.35358385752819815,53.494422912597656,54.20149230957031,0.7070693969726562,0.006565922329004136
