analysis,family,condition_label,preregistered_classification,preregistered_pooled_detection,posthoc_n_pre_event_latch_of_15,posthoc_n_startup_latch,posthoc_n_mid_run_latch,posthoc_n_clean_start,posthoc_cond_pooled_detection,posthoc_cond_seed_2026_detection,posthoc_cond_seed_2027_detection,posthoc_cond_seed_2028_detection,posthoc_conditional_classification,posthoc_supported_checks_json,posthoc_limited_checks_json
POST-HOC (conditional-on-clean-start),bias,bias_10pct,LIMITED,0.7333333333333333,4,4,0,11,1.0,1.0,1.0,1.0,SUPPORTED,"{""all_training_seed_detection_probability_ge_threshold"": true, ""all_training_seed_mean_delta_negative"": true, ""favorable_pair_count_ge_threshold"": true, ""safety_numerical_incomplete_failures_zero"": true}","{""pooled_detection_probability_ge_threshold"": true, ""pooled_mean_delta_negative"": true, ""favorable_training_seed_mean_count_ge_threshold"": true, ""safety_numerical_incomplete_failures_zero"": true}"
POST-HOC (conditional-on-clean-start),bias,bias_15pct,LIMITED,0.7333333333333333,4,4,0,11,1.0,1.0,1.0,1.0,SUPPORTED,"{""all_training_seed_detection_probability_ge_threshold"": true, ""all_training_seed_mean_delta_negative"": true, ""favorable_pair_count_ge_threshold"": true, ""safety_numerical_incomplete_failures_zero"": true}","{""pooled_detection_probability_ge_threshold"": true, ""pooled_mean_delta_negative"": true, ""favorable_training_seed_mean_count_ge_threshold"": true, ""safety_numerical_incomplete_failures_zero"": true}"
POST-HOC (conditional-on-clean-start),bias,bias_2.5pct,LIMITED,0.7333333333333333,4,4,0,11,1.0,1.0,1.0,1.0,SUPPORTED,"{""all_training_seed_detection_probability_ge_threshold"": true, ""all_training_seed_mean_delta_negative"": true, ""favorable_pair_count_ge_threshold"": true, ""safety_numerical_incomplete_failures_zero"": true}","{""pooled_detection_probability_ge_threshold"": true, ""pooled_mean_delta_negative"": true, ""favorable_training_seed_mean_count_ge_threshold"": true, ""safety_numerical_incomplete_failures_zero"": true}"
POST-HOC (conditional-on-clean-start),bias,bias_5pct,LIMITED,0.7333333333333333,4,4,0,11,1.0,1.0,1.0,1.0,SUPPORTED,"{""all_training_seed_detection_probability_ge_threshold"": true, ""all_training_seed_mean_delta_negative"": true, ""favorable_pair_count_ge_threshold"": true, ""safety_numerical_incomplete_failures_zero"": true}","{""pooled_detection_probability_ge_threshold"": true, ""pooled_mean_delta_negative"": true, ""favorable_training_seed_mean_count_ge_threshold"": true, ""safety_numerical_incomplete_failures_zero"": true}"
POST-HOC (conditional-on-clean-start),combined_bias_load,combined_bias_15pct_load_0.15Nm,LIMITED,0.6666666666666666,5,4,1,10,1.0,1.0,1.0,1.0,SUPPORTED,"{""all_training_seed_detection_probability_ge_threshold"": true, ""all_training_seed_mean_delta_negative"": true, ""favorable_pair_count_ge_threshold"": true, ""safety_numerical_incomplete_failures_zero"": true}","{""pooled_detection_probability_ge_threshold"": true, ""pooled_mean_delta_negative"": true, ""favorable_training_seed_mean_count_ge_threshold"": true, ""safety_numerical_incomplete_failures_zero"": true}"
POST-HOC (conditional-on-clean-start),combined_bias_load,combined_bias_15pct_load_0.1Nm,LIMITED,0.6666666666666666,5,4,1,10,1.0,1.0,1.0,1.0,SUPPORTED,"{""all_training_seed_detection_probability_ge_threshold"": true, ""all_training_seed_mean_delta_negative"": true, ""favorable_pair_count_ge_threshold"": true, ""safety_numerical_incomplete_failures_zero"": true}","{""pooled_detection_probability_ge_threshold"": true, ""pooled_mean_delta_negative"": true, ""favorable_training_seed_mean_count_ge_threshold"": true, ""safety_numerical_incomplete_failures_zero"": true}"
POST-HOC (conditional-on-clean-start),combined_bias_load,combined_bias_5pct_load_0.15Nm,LIMITED,0.6666666666666666,5,4,1,10,1.0,1.0,1.0,1.0,SUPPORTED,"{""all_training_seed_detection_probability_ge_threshold"": true, ""all_training_seed_mean_delta_negative"": true, ""favorable_pair_count_ge_threshold"": true, ""safety_numerical_incomplete_failures_zero"": true}","{""pooled_detection_probability_ge_threshold"": true, ""pooled_mean_delta_negative"": true, ""favorable_training_seed_mean_count_ge_threshold"": true, ""safety_numerical_incomplete_failures_zero"": true}"
POST-HOC (conditional-on-clean-start),combined_bias_load,combined_bias_5pct_load_0.1Nm,LIMITED,0.6666666666666666,5,4,1,10,1.0,1.0,1.0,1.0,SUPPORTED,"{""all_training_seed_detection_probability_ge_threshold"": true, ""all_training_seed_mean_delta_negative"": true, ""favorable_pair_count_ge_threshold"": true, ""safety_numerical_incomplete_failures_zero"": true}","{""pooled_detection_probability_ge_threshold"": true, ""pooled_mean_delta_negative"": true, ""favorable_training_seed_mean_count_ge_threshold"": true, ""safety_numerical_incomplete_failures_zero"": true}"
POST-HOC (conditional-on-clean-start),drift,drift_10pct,UNSUPPORTED,0.0666666666666666,4,4,0,11,0.09090909090909091,0.0,0.5,0.0,UNSUPPORTED,"{""all_training_seed_detection_probability_ge_threshold"": false, ""all_training_seed_mean_delta_negative"": true, ""favorable_pair_count_ge_threshold"": false, ""safety_numerical_incomplete_failures_zero"": true}","{""pooled_detection_probability_ge_threshold"": false, ""pooled_mean_delta_negative"": true, ""favorable_training_seed_mean_count_ge_threshold"": true, ""safety_numerical_incomplete_failures_zero"": true}"
POST-HOC (conditional-on-clean-start),drift,drift_15pct,UNSUPPORTED,0.1333333333333333,4,4,0,11,0.18181818181818182,0.25,0.5,0.0,UNSUPPORTED,"{""all_training_seed_detection_probability_ge_threshold"": false, ""all_training_seed_mean_delta_negative"": true, ""favorable_pair_count_ge_threshold"": false, ""safety_numerical_incomplete_failures_zero"": true}","{""pooled_detection_probability_ge_threshold"": false, ""pooled_mean_delta_negative"": true, ""favorable_training_seed_mean_count_ge_threshold"": true, ""safety_numerical_incomplete_failures_zero"": true}"
