training_seed,scenario,simulation_seed,sensor_fault_detected,first_post_event_reliability_entry_time_s,event_start_s,reliability_entries,post_event_reliability_entries,first_entry_time_s,events_table_entries,pre_event_latch,post_event_entry,pre_and_post_entry,label,latch_phase
2026,combined_fault_load,49026,True,3.02,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
2026,combined_fault_load,49027,False,,3.0,1,0,0.98,1,True,False,False,PRE_EVENT_LATCH,STARTUP
2026,combined_fault_load,49028,True,3.02,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
2026,combined_fault_load,49029,False,,3.0,1,0,1.02,1,True,False,False,PRE_EVENT_LATCH,STARTUP
2026,combined_fault_load,49030,True,3.02,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
2026,load_disturbance,49026,,,3.0,0,0,,0,False,False,False,NO_ENTRY,NONE
2026,load_disturbance,49027,,,3.0,1,0,0.98,1,True,False,False,PRE_EVENT_LATCH,STARTUP
2026,load_disturbance,49028,,3.06,3.0,1,1,3.06,1,False,True,False,POST_EVENT_ENTRY,NONE
2026,load_disturbance,49029,,,3.0,1,0,1.02,1,True,False,False,PRE_EVENT_LATCH,STARTUP
2026,load_disturbance,49030,,3.1,3.0,1,1,3.1,1,False,True,False,POST_EVENT_ENTRY,NONE
2026,parameter_variation,49026,,,3.0,0,0,,0,False,False,False,NO_ENTRY,NONE
2026,parameter_variation,49027,,,3.0,1,0,0.98,1,True,False,False,PRE_EVENT_LATCH,STARTUP
2026,parameter_variation,49028,,,3.0,0,0,,0,False,False,False,NO_ENTRY,NONE
2026,parameter_variation,49029,,,3.0,1,0,1.02,1,True,False,False,PRE_EVENT_LATCH,STARTUP
2026,parameter_variation,49030,,,3.0,0,0,,0,False,False,False,NO_ENTRY,NONE
2026,sensor_bias_5,49026,True,2.02,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
2026,sensor_bias_5,49027,False,,2.0,1,0,0.98,1,True,False,False,PRE_EVENT_LATCH,STARTUP
2026,sensor_bias_5,49028,True,2.02,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
2026,sensor_bias_5,49029,False,,2.0,1,0,1.02,1,True,False,False,PRE_EVENT_LATCH,STARTUP
2026,sensor_bias_5,49030,True,2.02,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
2026,sensor_dropout,49026,True,2.02,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
2026,sensor_dropout,49027,False,,2.0,1,0,0.98,1,True,False,False,PRE_EVENT_LATCH,STARTUP
2026,sensor_dropout,49028,True,2.02,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
2026,sensor_dropout,49029,False,,2.0,1,0,1.02,1,True,False,False,PRE_EVENT_LATCH,STARTUP
2026,sensor_dropout,49030,True,2.02,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
2027,combined_fault_load,49026,True,3.02,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
2027,combined_fault_load,49027,False,,3.0,1,0,0.98,1,True,False,False,PRE_EVENT_LATCH,STARTUP
2027,combined_fault_load,49028,False,,3.0,1,0,1.12,1,True,False,False,PRE_EVENT_LATCH,STARTUP
2027,combined_fault_load,49029,True,3.02,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
2027,combined_fault_load,49030,True,3.02,3.0,2,1,0.26,2,True,True,True,PRE_EVENT_LATCH,STARTUP
2027,load_disturbance,49026,,,3.0,0,0,,0,False,False,False,NO_ENTRY,NONE
2027,load_disturbance,49027,,,3.0,1,0,0.98,1,True,False,False,PRE_EVENT_LATCH,STARTUP
2027,load_disturbance,49028,,,3.0,1,0,1.12,1,True,False,False,PRE_EVENT_LATCH,STARTUP
2027,load_disturbance,49029,,5.03,3.0,1,1,5.03,1,False,True,False,POST_EVENT_ENTRY,NONE
2027,load_disturbance,49030,,3.1,3.0,2,1,0.26,2,True,True,True,PRE_EVENT_LATCH,STARTUP
2027,parameter_variation,49026,,,3.0,0,0,,0,False,False,False,NO_ENTRY,NONE
2027,parameter_variation,49027,,,3.0,1,0,0.98,1,True,False,False,PRE_EVENT_LATCH,STARTUP
2027,parameter_variation,49028,,,3.0,1,0,1.12,1,True,False,False,PRE_EVENT_LATCH,STARTUP
2027,parameter_variation,49029,,,3.0,0,0,,0,False,False,False,NO_ENTRY,NONE
2027,parameter_variation,49030,,3.77,3.0,2,1,0.26,2,True,True,True,PRE_EVENT_LATCH,STARTUP
2027,sensor_bias_5,49026,True,2.02,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
