family,condition_id,training_seed,simulation_seed,event_end_s,sensor_fault_detected,first_post_event_reliability_entry_time_s,bias_percent,dropout_duration_s,drift_final_percent,post_step_load_Nm,event_start_s,reliability_entries,post_event_reliability_entries,first_entry_time_s,events_table_entries,pre_event_latch,post_event_entry,pre_and_post_entry,label,latch_phase
bias,bias_pct_10,2026,59026,4.0,True,2.02,10.0,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_10,2026,59027,4.0,True,2.02,10.0,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_10,2026,59028,4.0,True,2.02,10.0,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_10,2026,59029,4.0,True,2.02,10.0,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_10,2026,59030,4.0,False,,10.0,,,,2.0,1,0,0.5,1,True,False,False,PRE_EVENT_LATCH,STARTUP
bias,bias_pct_10,2027,59026,4.0,False,,10.0,,,,2.0,1,0,0.87,1,True,False,False,PRE_EVENT_LATCH,STARTUP
bias,bias_pct_10,2027,59027,4.0,False,,10.0,,,,2.0,1,0,0.48,1,True,False,False,PRE_EVENT_LATCH,STARTUP
bias,bias_pct_10,2027,59028,4.0,True,2.02,10.0,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_10,2027,59029,4.0,True,2.02,10.0,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_10,2027,59030,4.0,False,,10.0,,,,2.0,1,0,0.61,1,True,False,False,PRE_EVENT_LATCH,STARTUP
bias,bias_pct_10,2028,59026,4.0,True,2.02,10.0,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_10,2028,59027,4.0,True,2.02,10.0,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_10,2028,59028,4.0,True,2.02,10.0,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_10,2028,59029,4.0,True,2.02,10.0,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_10,2028,59030,4.0,True,2.02,10.0,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_15,2026,59026,4.0,True,2.02,15.0,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_15,2026,59027,4.0,True,2.02,15.0,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_15,2026,59028,4.0,True,2.02,15.0,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_15,2026,59029,4.0,True,2.02,15.0,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_15,2026,59030,4.0,False,,15.0,,,,2.0,1,0,0.5,1,True,False,False,PRE_EVENT_LATCH,STARTUP
bias,bias_pct_15,2027,59026,4.0,False,,15.0,,,,2.0,1,0,0.87,1,True,False,False,PRE_EVENT_LATCH,STARTUP
bias,bias_pct_15,2027,59027,4.0,False,,15.0,,,,2.0,1,0,0.48,1,True,False,False,PRE_EVENT_LATCH,STARTUP
bias,bias_pct_15,2027,59028,4.0,True,2.02,15.0,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_15,2027,59029,4.0,True,2.02,15.0,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_15,2027,59030,4.0,False,,15.0,,,,2.0,1,0,0.61,1,True,False,False,PRE_EVENT_LATCH,STARTUP
bias,bias_pct_15,2028,59026,4.0,True,2.02,15.0,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_15,2028,59027,4.0,True,2.02,15.0,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_15,2028,59028,4.0,True,2.02,15.0,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_15,2028,59029,4.0,True,2.02,15.0,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_15,2028,59030,4.0,True,2.02,15.0,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_2.5,2026,59026,4.0,True,2.02,2.5,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_2.5,2026,59027,4.0,True,2.02,2.5,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_2.5,2026,59028,4.0,True,2.02,2.5,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_2.5,2026,59029,4.0,True,2.02,2.5,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_2.5,2026,59030,4.0,False,,2.5,,,,2.0,1,0,0.5,1,True,False,False,PRE_EVENT_LATCH,STARTUP
bias,bias_pct_2.5,2027,59026,4.0,False,,2.5,,,,2.0,1,0,0.87,1,True,False,False,PRE_EVENT_LATCH,STARTUP
bias,bias_pct_2.5,2027,59027,4.0,False,,2.5,,,,2.0,1,0,0.48,1,True,False,False,PRE_EVENT_LATCH,STARTUP
bias,bias_pct_2.5,2027,59028,4.0,True,2.02,2.5,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_2.5,2027,59029,4.0,True,2.02,2.5,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
