study,scenario,training_seed,n_runs,n_pre_event_latch,n_startup_latch,n_mid_run_pre_event_latch,false_latch_rate,false_latch_wilson_lo,false_latch_wilson_hi,n_clean_start,n_post_event_entry_given_clean,cond_post_event_entry_given_clean,cond_wilson_lo,cond_wilson_hi,n_pre_and_post_entry,family
PartA,combined_fault_load,2026,5,2,2,0,0.4,0.1176182311592533,0.769280067791163,3,3,1.0,0.43849391955098227,1.0,0,
PartA,combined_fault_load,2027,5,3,3,0,0.6,0.23071993220883708,0.8823817688407467,2,2,1.0,0.34237195288961925,1.0,1,
PartA,combined_fault_load,2028,5,2,2,0,0.4,0.1176182311592533,0.769280067791163,3,3,1.0,0.43849391955098227,1.0,0,
PartA,load_disturbance,2026,5,2,2,0,0.4,0.1176182311592533,0.769280067791163,3,2,0.6666666666666666,0.2076549551264879,0.9385096847238394,0,
PartA,load_disturbance,2027,5,3,3,0,0.6,0.23071993220883708,0.8823817688407467,2,1,0.5,0.09452865480086614,0.9054713451991339,1,
PartA,load_disturbance,2028,5,2,2,0,0.4,0.1176182311592533,0.769280067791163,3,2,0.6666666666666666,0.2076549551264879,0.9385096847238394,0,
PartA,parameter_variation,2026,5,2,2,0,0.4,0.1176182311592533,0.769280067791163,3,0,0.0,0.0,0.5615060804490177,0,
PartA,parameter_variation,2027,5,3,3,0,0.6,0.23071993220883708,0.8823817688407467,2,0,0.0,0.0,0.6576280471103807,1,
PartA,parameter_variation,2028,5,2,2,0,0.4,0.1176182311592533,0.769280067791163,3,0,0.0,0.0,0.5615060804490177,0,
PartA,sensor_bias_5,2026,5,2,2,0,0.4,0.1176182311592533,0.769280067791163,3,3,1.0,0.43849391955098227,1.0,0,
PartA,sensor_bias_5,2027,5,3,3,0,0.6,0.23071993220883708,0.8823817688407467,2,2,1.0,0.34237195288961925,1.0,1,
PartA,sensor_bias_5,2028,5,2,2,0,0.4,0.1176182311592533,0.769280067791163,3,3,1.0,0.43849391955098227,1.0,0,
PartA,sensor_dropout,2026,5,2,2,0,0.4,0.1176182311592533,0.769280067791163,3,3,1.0,0.43849391955098227,1.0,0,
PartA,sensor_dropout,2027,5,3,3,0,0.6,0.23071993220883708,0.8823817688407467,2,2,1.0,0.34237195288961925,1.0,1,
PartA,sensor_dropout,2028,5,2,2,0,0.4,0.1176182311592533,0.769280067791163,3,3,1.0,0.43849391955098227,1.0,0,
PartA,,2026,25,10,10,0,0.4,0.23403057664190918,0.5926087221487266,15,11,0.7333333333333333,0.4804911034231324,0.8910272389681718,0,
PartA,,2027,25,15,15,0,0.6,0.40739127785127344,0.7659694233580909,10,7,0.7,0.39677321997956516,0.892210712513788,5,
PartA,,2028,25,10,10,0,0.4,0.23403057664190918,0.5926087221487266,15,11,0.7333333333333333,0.4804911034231324,0.8910272389681718,0,
PartB,,2026,20,4,4,0,0.2,0.0806563532712,0.41602172202575993,16,16,1.0,0.8063865817272802,1.0,0,bias
PartB,,2027,20,12,12,0,0.6,0.3865779423152061,0.7811960325858074,8,8,1.0,0.6755843804891231,1.0,0,bias
PartB,,2028,20,0,0,0,0.0,0.0,0.16113012549493322,20,20,1.0,0.8388698745050667,1.0,0,bias
PartB,,2026,20,4,4,0,0.2,0.0806563532712,0.41602172202575993,16,16,1.0,0.8063865817272802,1.0,0,combined_bias_load
PartB,,2027,20,16,12,4,0.8,0.5839782779742401,0.9193436467288,4,4,1.0,0.5100999795960008,1.0,0,combined_bias_load
PartB,,2028,20,0,0,0,0.0,0.0,0.16113012549493322,20,20,1.0,0.8388698745050667,1.0,0,combined_bias_load
PartB,,2026,20,4,4,0,0.2,0.0806563532712,0.41602172202575993,16,1,0.0625,0.01111905730833121,0.2832926836802987,0,drift
PartB,,2027,20,12,12,0,0.6,0.3865779423152061,0.7811960325858074,8,4,0.5,0.21521252682444186,0.7847874731755582,0,drift
PartB,,2028,20,0,0,0,0.0,0.0,0.16113012549493322,20,0,0.0,0.0,0.16113012549493322,0,drift
PartB,,2026,20,4,4,0,0.2,0.0806563532712,0.41602172202575993,16,16,1.0,0.8063865817272802,1.0,0,dropout
PartB,,2027,20,12,12,0,0.6,0.3865779423152061,0.7811960325858074,8,8,1.0,0.6755843804891231,1.0,0,dropout
PartB,,2028,20,0,0,0,0.0,0.0,0.16113012549493322,20,20,1.0,0.8388698745050667,1.0,0,dropout
PartB,,2026,20,4,4,0,0.2,0.0806563532712,0.41602172202575993,16,5,0.3125,0.14164435051961052,0.5559606813326594,0,load
PartB,,2027,20,16,12,4,0.8,0.5839782779742401,0.9193436467288,4,2,0.5,0.15003570882017148,0.8499642911798285,0,load
PartB,,2028,20,0,0,0,0.0,0.0,0.16113012549493322,20,7,0.35,0.18118954786794464,0.5671494897805354,0,load
PartB,,2026,100,20,20,0,0.2,0.1333659225590988,0.28883096192650237,80,54,0.675,0.5664032172496735,0.7675598750577254,0,
PartB,,2027,100,68,60,8,0.68,0.5833719774632081,0.7633098918454312,32,26,0.8125,0.6469050424507756,0.9111057606383721,0,
PartB,,2028,100,0,0,0,0.0,0.0,0.03699480747600191,100,67,0.67,0.5730516033971139,0.7543701620610456,0,
